,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.94,0.54,0.7,0.43,0.81,0.63,1.0,1.01,0.77,0.61,0.59,0.61,0.68,0.73,0.61,0.58,0.98
avisynth2.csv,0.82,1.0,0.88,0.86,1.0,0.97,0.06,1.0,1.0,0.87,1.0,0.78,0.82,1.0,1.0,0.94,1.0
bigdata.csv,0.86,0.88,0.75,0.92,0.96,0.85,0.56,0.8,0.78,0.75,0.98,0.48,0.47,0.83,0.76,0.7,0.94
dsworkbench.csv,0.38,0.9,1.0,0.92,0.92,0.95,1.06,0.41,1.06,0.87,0.82,0.74,1.0,0.87,1.0,0.88,1.03
foursquared.csv,0.71,0.86,0.88,0.77,0.19,0.93,0.39,0.8,0.88,0.85,0.96,0.88,0.97,0.81,0.89,0.77,1.0
geotools.csv,0.7,0.81,0.81,0.71,0.65,0.54,0.58,0.44,0.71,0.48,0.84,0.67,0.81,0.51,0.8,0.83,0.97
gephex.csv,1.0,0.79,0.65,1.0,0.77,0.62,1.08,0.94,0.92,0.66,0.49,0.69,0.62,0.97,0.93,0.6,0.85
jgossipforum.csv,0.98,0.84,0.47,0.83,0.83,0.86,1.0,0.06,0.34,0.85,0.84,0.84,0.93,0.62,0.94,0.89,1.07
madman.csv,0.96,0.75,0.84,0.9,0.81,0.91,1.0,0.94,0.29,0.85,0.83,0.95,0.7,0.72,0.79,0.95,1.0
pokenetonline.csv,1.0,0.9,0.92,0.36,0.63,0.94,0.98,0.67,0.98,0.85,0.76,0.97,0.95,0.93,0.79,0.54,0.98
qmmp.csv,0.66,0.65,0.78,0.74,0.81,0.95,0.56,0.81,0.57,0.84,0.73,0.92,0.77,0.4,0.73,0.7,1.17
rcp-company-uibindings.csv,0.71,0.79,0.57,0.69,0.42,0.51,0.56,0.63,0.53,0.57,0.69,0.7,0.91,0.59,0.89,0.13,0.33
simplewebservices.csv,0.97,0.75,0.88,0.77,0.54,0.54,0.98,0.61,0.59,0.64,0.66,0.87,0.82,0.85,0.45,0.29,1.0
t-2.csv,0.71,0.94,0.68,0.66,0.94,0.4,0.76,1.0,0.9,0.72,0.89,0.77,0.96,0.62,0.96,0.86,0.24
wsmt.csv,0.72,0.99,0.94,1.01,0.86,0.92,0.67,1.0,1.0,0.89,0.93,0.79,0.28,0.95,1.01,0.63,1.17
yarp0.csv,0.72,0.85,0.41,0.78,0.93,0.58,1.04,0.95,0.6,0.67,0.66,0.74,1.03,0.83,0.76,0.72,1.03
