,flylinkdc.csv,powerfolder-.csv,ltp.csv,pfaedit.csv,aime.csv,qtwin.csv
aime.csv,0.9,0.89,0.36,0.94,0.52,0.99
flylinkdc.csv,0.54,0.61,0.47,0.37,0.4,0.51
ltp.csv,0.84,0.42,0.47,0.4,0.53,0.69
pfaedit.csv,0.56,0.38,0.97,0.37,0.44,0.54
powerfolder-.csv,0.58,0.5,0.97,0.75,0.42,0.49
qtwin.csv,0.67,0.54,0.0,0.0,0.67,1.0
