,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.93,0.69,0.81,0.89,0.8,0.81,0.93,0.7,1.0,0.62,1.0,0.66
crisscross.csv,0.96,1.0,0.76,0.94,0.36,0.92,0.92,0.97,0.62,1.0,1.0,0.99
gabel.csv,0.45,0.54,0.62,0.46,0.09,0.36,0.24,0.17,0.75,0.06,0.3,0.4
jguard.csv,0.78,1.0,0.62,0.83,0.98,0.54,0.8,0.63,1.0,0.88,1.0,0.85
jitterbit.csv,0.56,0.0,0.52,0.43,0.32,0.69,0.49,0.43,1.0,0.12,0.6,0.49
mycila.csv,0.84,0.69,0.9,0.54,0.86,0.25,0.69,0.4,0.62,0.94,0.8,0.58
nova.csv,0.73,0.85,0.86,0.71,0.84,0.75,0.58,0.47,0.88,0.19,0.7,0.81
ontomorphtab.csv,0.75,0.77,0.57,0.66,0.73,0.68,0.73,0.8,0.88,0.5,0.9,0.86
tmva.csv,0.39,0.69,1.0,0.91,0.95,0.42,0.94,0.57,0.88,0.19,0.9,0.77
vienna-add-in.csv,0.67,0.92,0.86,0.8,0.59,0.63,0.76,0.4,0.0,0.69,0.6,0.86
vrjuggler.csv,0.45,0.08,0.43,0.46,0.48,0.34,0.64,0.3,0.0,0.75,0.2,0.19
wpdev.csv,1.0,0.69,0.57,1.0,0.48,0.98,0.95,0.97,1.0,0.81,1.0,1.0
