,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.38,0.53,0.49,0.4,0.44,0.46,0.39,0.38,0.46,0.4,0.37,0.5
crisscross.csv,0.4,0.42,0.52,0.47,0.78,0.4,0.43,0.39,0.45,0.36,0.41,0.44
gabel.csv,0.44,0.62,0.57,0.44,0.75,0.85,0.73,0.92,0.68,0.75,0.59,0.54
jguard.csv,0.5,0.42,0.59,0.46,0.31,0.42,0.39,0.58,0.41,0.42,0.42,0.52
jitterbit.csv,0.49,0.0,0.61,0.55,0.75,0.65,0.44,0.56,0.48,0.78,0.41,0.53
mycila.csv,0.46,0.47,0.48,0.58,0.37,0.56,0.52,0.81,0.56,0.4,0.71,0.7
nova.csv,0.5,0.57,0.54,0.46,0.35,0.44,0.46,0.59,0.49,0.95,0.46,0.52
ontomorphtab.csv,0.43,0.47,0.62,0.44,0.33,0.39,0.37,0.36,0.4,0.44,0.4,0.48
tmva.csv,0.52,0.41,0.45,0.43,0.33,0.45,0.42,0.48,0.44,0.96,0.36,0.51
vienna-add-in.csv,0.56,0.46,0.52,0.49,0.37,0.54,0.57,0.76,0.91,0.54,0.51,0.51
vrjuggler.csv,0.58,0.67,0.72,0.58,0.62,0.98,0.6,0.76,0.93,0.54,0.89,0.78
wpdev.csv,0.39,0.41,0.58,0.45,0.53,0.39,0.42,0.39,0.46,0.37,0.37,0.44
