,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.0,0.48,0.61,0.81,0.44,0.5,0.98,0.84,0.89,0.64,1.0,0.7
crisscross.csv,1.0,1.0,0.26,0.67,0.39,0.91,0.93,0.95,0.55,1.0,0.74,0.98
gabel.csv,0.0,0.2,0.4,0.1,0.0,0.12,0.05,0.12,0.21,0.05,0.33,0.25
jguard.csv,1.0,1.0,0.79,0.81,1.0,0.77,0.78,0.3,0.8,0.86,0.79,0.83
jitterbit.csv,0.0,0.0,0.5,0.33,0.11,0.2,0.66,0.34,0.91,0.27,0.9,0.47
mycila.csv,1.0,0.95,0.93,0.67,0.78,0.59,0.49,0.25,0.62,0.9,0.21,0.65
nova.csv,1.0,0.27,0.71,0.76,0.83,0.73,0.54,0.32,0.89,0.27,0.71,0.6
ontomorphtab.csv,0.0,0.8,0.4,0.19,0.72,0.73,0.76,0.77,0.55,0.8,0.74,0.72
tmva.csv,0.0,0.41,1.0,0.9,1.0,0.65,0.85,0.52,0.89,0.34,0.98,0.33
vienna-add-in.csv,1.0,0.77,0.78,0.71,0.67,0.66,0.39,0.38,0.47,0.66,0.69,0.78
vrjuggler.csv,0.0,0.05,0.34,0.38,0.28,0.1,0.54,0.21,0.16,0.39,0.17,0.13
wpdev.csv,0.0,0.64,0.59,0.86,0.61,0.95,0.98,1.0,1.0,0.83,1.0,1.0
