,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.94,0.72,0.0,0.7
google-caja.csv,0.76,0.0,0.65,0.47
itext.csv,0.78,0.73,0.85,0.07
plee-the-bear.csv,0.03,0.76,0.79,0.66
