,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.88,0.85,1.0,0.59
google-caja.csv,0.33,1.0,0.35,0.71
itext.csv,0.24,0.27,0.15,0.94
plee-the-bear.csv,0.97,0.49,0.24,0.62
