,plee-the-bear.csv,google-caja.csv,genecys.csv,itext.csv
genecys.csv,0.24,0.62,1.0,0.55
google-caja.csv,0.36,1.0,0.4,0.69
itext.csv,0.28,0.31,0.18,0.95
plee-the-bear.csv,0.98,0.48,0.28,0.58
