,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.88,0.91,0.64,1.0,0.91,0.48,0.85,0.97,1.0,0.39,0.24,0.73,1.0,0.96,0.76,0.96,1.0,1.0,0.88
co-ode-owl-plugins.csv,0.71,0.49,0.73,0.58,0.76,0.77,0.5,0.55,0.24,0.72,0.96,0.8,0.72,0.58,0.78,0.48,0.4,0.49,0.98
exl.csv,0.75,0.66,0.09,0.75,0.52,0.68,0.74,0.2,0.57,0.33,0.67,0.6,0.17,0.42,0.39,0.64,0.87,0.67,0.73
firebreath.csv,0.33,0.51,0.73,0.75,0.63,0.8,0.62,0.73,0.14,0.44,0.59,0.6,0.89,0.65,0.23,0.64,0.13,0.31,0.66
irplus.csv,0.67,0.49,0.0,0.75,0.37,0.66,0.65,0.47,0.71,0.17,0.41,0.53,0.67,1.0,0.2,0.44,0.67,0.31,0.49
jasperreports.csv,0.46,0.46,0.27,1.0,0.65,0.39,0.5,0.83,0.95,0.33,0.19,0.2,0.11,0.96,0.12,0.4,0.8,0.24,0.56
javaprofiler.csv,0.79,0.71,0.64,0.92,0.89,0.89,0.68,0.7,0.29,0.78,0.83,0.93,0.83,1.0,0.24,0.48,0.8,0.6,0.98
konversation.csv,0.17,0.37,0.36,0.83,0.41,0.36,0.44,0.65,0.29,0.11,0.09,0.53,0.72,0.69,0.13,0.6,0.33,0.32,0.37
lazarus-ccr.csv,0.83,0.49,1.0,0.25,0.85,0.61,0.71,0.67,0.52,0.72,0.24,0.73,0.89,0.38,0.88,0.72,0.67,0.49,0.8
linuxsh.csv,0.38,0.37,0.82,0.5,0.11,0.73,0.26,0.2,0.0,0.67,0.96,0.67,0.06,0.0,0.48,0.12,0.07,0.19,0.63
migen.csv,0.67,0.26,0.45,0.58,0.5,0.55,0.71,0.3,0.05,0.78,0.8,0.8,0.17,0.96,0.1,0.4,0.4,0.49,0.8
moviesandbox.csv,0.58,0.86,0.64,0.83,0.59,0.73,0.56,0.7,0.1,0.72,0.72,0.8,0.67,0.62,0.22,0.32,0.13,0.61,0.88
mvnforum.csv,0.0,0.17,0.73,0.0,0.33,0.68,0.29,0.23,0.05,0.61,0.46,0.27,0.56,0.08,0.21,0.08,0.0,0.28,0.34
nebuladevice.csv,0.58,0.4,0.0,0.42,0.48,0.57,0.5,0.5,0.71,0.83,0.3,0.47,0.17,0.31,0.4,0.12,0.8,0.75,0.41
ontomorphtab.csv,0.58,0.74,0.82,0.75,0.76,0.84,0.76,0.68,0.62,0.28,0.7,0.87,0.39,1.0,0.22,0.6,0.8,0.4,0.85
opengs.csv,0.17,0.2,0.55,0.58,0.61,0.7,0.29,0.5,0.14,0.22,0.76,0.87,0.83,0.65,0.33,0.4,0.4,0.59,0.85
scite-ru.csv,1.0,0.86,0.18,0.75,0.83,0.84,0.79,0.57,0.43,0.83,0.93,1.0,0.89,0.96,0.92,0.72,0.67,0.93,0.98
tokratan.csv,0.25,0.4,0.64,0.58,0.57,0.68,0.62,0.48,0.1,0.06,0.52,0.53,0.83,0.92,0.14,0.48,0.8,1.0,0.51
xuggle.csv,0.75,0.49,0.82,0.58,0.72,0.7,0.56,0.58,0.43,0.22,0.85,0.93,0.78,0.85,0.69,0.64,0.67,0.55,0.73
