,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.86,0.76,0.82,0.82,0.96,0.8,0.98,0.65,0.84,0.71,0.73,0.84,0.04,0.67,0.7,0.78
amygdala.csv,0.58,0.96,0.81,0.85,0.99,0.74,0.63,0.88,0.87,0.84,0.98,0.0,0.79,0.7,0.75,0.78
awemud.csv,0.04,0.77,0.73,1.09,0.46,0.67,0.6,0.58,0.46,1.01,0.71,0.79,0.65,0.53,0.71,0.65
bullet.csv,0.81,0.68,0.84,0.76,0.58,0.0,0.74,0.67,0.8,0.51,0.66,0.56,0.69,0.64,0.77,0.54
customwars.csv,0.89,0.81,1.02,0.73,0.84,0.85,0.97,0.63,1.0,0.83,0.0,0.98,0.49,0.76,0.81,0.74
dvd-create.csv,0.82,0.47,0.6,0.85,0.0,0.6,0.78,0.73,0.98,0.77,0.75,0.66,0.84,0.66,0.61,0.69
gbif-indexingtoolkit.csv,0.93,0.89,0.76,0.96,0.94,0.87,0.92,0.0,0.72,0.83,0.56,0.95,0.97,0.84,0.93,0.92
go.csv,0.63,0.0,0.63,0.81,0.46,0.5,0.67,0.82,1.1,0.51,0.69,0.57,0.49,0.52,0.65,0.67
gss.csv,0.91,0.85,0.83,0.3,0.69,0.72,0.64,0.67,0.67,0.92,0.76,0.54,0.76,0.66,0.86,0.06
kwave.csv,0.79,0.5,0.0,0.89,0.58,0.87,0.75,0.6,0.89,1.0,0.63,0.86,0.65,0.71,0.8,0.8
lsb.csv,0.6,0.66,0.53,0.02,0.53,0.74,0.72,0.6,0.26,1.01,0.78,0.62,0.42,0.67,0.88,0.45
mpgravity.csv,0.61,0.63,0.95,0.75,1.05,0.81,0.85,0.74,0.97,0.09,0.81,0.7,0.68,0.94,0.73,0.93
qcad2.csv,0.53,0.84,0.58,1.03,0.84,0.66,0.06,0.77,0.66,0.83,0.57,0.79,0.76,0.66,0.73,0.5
qtwin.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.97,1.0,0.97
roller.csv,0.68,0.74,0.69,0.62,0.96,0.74,0.69,0.78,0.92,0.69,0.57,0.78,0.63,0.03,0.68,0.73
xinity.csv,0.83,0.78,0.83,0.92,0.69,0.67,0.67,0.62,1.04,0.76,0.68,0.74,0.51,0.73,0.05,0.72
