,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.92,0.85,0.73,0.89,0.86,0.75,0.88,0.56,0.99,0.5,0.72,0.86,0.55,0.76,0.52,0.65
amygdala.csv,0.46,0.89,0.42,0.65,0.67,0.57,0.5,0.64,0.65,0.46,0.96,0.5,0.89,0.55,0.4,0.52
awemud.csv,0.42,0.41,0.55,0.7,0.44,0.48,0.48,0.42,0.53,0.86,0.35,0.55,0.62,0.4,0.34,0.53
bullet.csv,0.45,0.42,0.37,0.93,0.34,0.4,0.54,0.71,0.62,0.5,0.41,0.42,0.53,0.47,0.37,0.69
customwars.csv,0.9,0.49,0.83,0.76,0.73,0.9,0.94,0.62,0.98,0.5,0.94,0.8,0.54,0.95,0.57,0.79
dvd-create.csv,0.38,0.41,0.47,0.62,0.41,0.45,0.45,0.36,0.55,0.41,0.36,0.41,0.63,0.36,0.33,0.53
gbif-indexingtoolkit.csv,0.89,0.94,0.9,0.95,0.86,0.91,0.94,0.91,0.99,0.5,0.75,0.75,0.97,0.93,0.75,0.9
go.csv,0.4,0.46,0.5,0.72,0.44,0.4,0.47,0.4,0.58,0.48,0.38,0.44,0.49,0.37,0.33,0.56
gss.csv,0.39,0.4,0.44,0.4,0.36,0.37,0.5,0.34,0.51,0.38,0.33,0.53,0.44,0.38,0.29,0.4
kwave.csv,0.9,0.45,0.94,0.94,0.53,0.91,0.9,0.59,0.84,0.0,0.5,0.81,0.79,0.66,0.86,0.86
lsb.csv,0.42,0.48,0.46,0.61,0.47,0.42,0.63,0.43,0.59,0.83,0.41,0.53,0.48,0.46,0.3,0.55
mpgravity.csv,0.52,0.58,0.57,0.69,0.58,0.51,0.57,0.47,0.49,0.75,0.4,0.61,0.53,0.43,0.41,0.57
qcad2.csv,0.58,0.49,0.66,0.59,0.49,0.59,0.61,0.47,0.65,0.67,0.51,0.7,0.53,0.45,0.37,0.48
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.5,0.0,0.0
roller.csv,0.63,0.54,0.9,0.69,0.47,0.7,0.67,0.42,0.59,0.83,0.51,0.74,0.5,0.44,0.37,0.62
xinity.csv,0.59,0.48,0.43,0.94,0.36,0.54,0.76,0.65,0.84,0.88,0.43,0.64,0.59,0.64,0.44,0.4
