,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.03,0.13,0.14,0.01,0.17,0.1,0.07,0.54,0.1,0.24,0.35,0.03,0.0,0.29,0.42,0.45
amygdala.csv,0.4,0.11,0.71,0.72,0.11,0.19,0.36,0.5,0.24,0.73,0.27,0.0,0.18,0.45,0.69,0.6
awemud.csv,0.03,0.76,0.46,0.92,0.39,0.52,0.55,0.36,0.46,0.17,0.58,0.63,0.42,0.29,0.65,0.25
bullet.csv,0.73,0.67,0.82,0.03,0.56,0.0,0.72,0.2,0.72,0.39,0.52,0.51,0.63,0.37,0.65,0.1
customwars.csv,0.03,0.6,0.41,0.18,0.39,0.0,0.16,0.32,0.02,0.0,0.0,0.11,0.31,0.04,0.5,0.25
dvd-create.csv,0.8,0.44,0.52,0.81,0.0,0.48,0.77,0.68,0.72,0.73,0.72,0.66,0.55,0.63,0.58,0.35
gbif-indexingtoolkit.csv,0.1,0.18,0.11,0.12,0.11,0.1,0.12,0.0,0.27,0.0,0.17,0.06,0.1,0.04,0.04,0.3
go.csv,0.6,0.0,0.45,0.52,0.28,0.38,0.66,0.52,0.72,0.44,0.66,0.54,0.41,0.45,0.54,0.3
gss.csv,0.9,0.84,0.77,0.15,0.67,0.71,0.62,0.56,0.67,0.9,0.74,0.4,0.76,0.53,0.85,0.05
kwave.csv,0.1,0.33,0.0,0.29,0.17,0.1,0.16,0.24,0.31,0.0,0.34,0.26,0.19,0.22,0.19,0.05
lsb.csv,0.53,0.44,0.43,0.0,0.11,0.67,0.13,0.54,0.19,0.15,0.73,0.37,0.23,0.57,0.85,0.2
mpgravity.csv,0.47,0.47,0.71,0.62,0.89,0.71,0.81,0.72,0.95,0.02,0.76,0.51,0.65,0.9,0.62,0.65
qcad2.csv,0.3,0.8,0.45,1.0,0.78,0.14,0.01,0.54,0.57,0.49,0.39,0.57,0.71,0.55,0.69,0.4
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
roller.csv,0.23,0.58,0.09,0.54,0.89,0.29,0.42,0.56,0.64,0.2,0.39,0.26,0.58,0.0,0.5,0.3
xinity.csv,0.53,0.71,0.55,0.1,0.67,0.33,0.25,0.3,0.3,0.12,0.61,0.29,0.3,0.35,0.0,0.6
