,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.59,0.52,0.49,0.6,0.88,0.65,0.42,0.58,0.46,0.43,0.57,0.45,0.49,0.44,0.51,0.41,0.42,0.42,0.77,0.39
galaxium.csv,0.95,0.87,0.0,0.92,0.67,0.93,0.8,0.76,0.83,0.0,0.92,0.56,0.65,0.64,0.6,0.0,0.67,0.45,0.67,0.86
itext.csv,0.38,0.46,0.48,0.44,0.43,0.51,0.33,0.35,0.43,0.33,0.4,0.34,0.36,0.43,0.58,0.4,0.32,0.33,0.46,0.34
jahshakafx.csv,0.5,0.57,0.71,0.72,0.64,0.94,0.47,0.92,0.85,0.75,0.73,0.55,0.93,0.78,0.42,0.83,0.85,0.76,0.72,0.74
kolmafia.csv,0.34,0.38,0.38,0.41,0.45,0.56,0.37,0.53,0.39,0.33,0.39,0.35,0.36,0.33,0.37,0.41,0.43,0.43,0.56,0.44
mecat.csv,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0,0.92,0.0,0.67,0.5,0.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.66,0.61,0.48,0.57,0.9,0.66,0.9,0.87,0.54,0.39,0.66,0.65,0.85,0.61,0.88,0.67,0.48,0.5,0.66,0.7
mptvseries.csv,0.56,0.45,0.71,0.58,0.62,0.95,0.9,0.9,0.61,0.58,0.79,0.94,0.67,0.62,0.5,0.92,0.79,0.8,0.75,0.56
novembre.csv,0.82,0.68,0.61,0.83,0.92,0.96,0.71,0.84,0.67,0.85,0.93,0.7,0.86,0.83,0.95,0.5,0.9,0.0,0.89,0.91
ns-3.csv,0.47,0.56,0.46,0.63,0.56,0.5,0.38,0.72,0.37,0.75,0.44,0.43,0.43,0.46,0.77,0.47,0.47,0.43,0.56,0.48
nullc.csv,0.6,0.59,0.48,0.61,0.45,0.45,0.37,0.5,0.41,0.46,0.49,0.42,0.42,0.42,0.79,0.36,0.36,0.36,0.58,0.41
pixel-commandos.csv,0.93,0.69,0.98,0.93,0.8,0.92,0.67,0.86,0.5,0.9,0.99,0.67,0.5,0.0,0.96,0.0,0.67,0.67,0.75,0.9
plee-the-bear.csv,0.99,1.0,0.97,0.83,0.78,0.69,0.67,0.97,0.61,0.65,1.0,0.65,0.62,0.66,0.96,0.94,0.77,0.55,0.65,0.78
quantlib.csv,0.97,0.66,0.98,0.85,0.8,0.67,0.53,0.86,0.73,0.73,0.82,0.41,0.8,0.73,0.59,0.67,0.36,0.8,0.92,0.95
reaper-ecad.csv,0.54,0.64,0.47,0.95,0.51,0.52,0.44,0.45,0.44,0.44,0.52,0.62,0.53,0.66,0.7,0.41,0.49,0.42,0.48,0.45
sbml.csv,0.38,0.43,0.48,0.49,0.43,0.43,0.33,0.38,0.52,0.38,0.43,0.35,0.38,0.38,0.32,0.4,0.31,0.36,0.41,0.46
smartgwt.csv,0.54,0.57,0.58,0.82,0.81,0.86,0.53,0.43,0.58,0.51,0.8,0.6,0.51,0.63,0.56,0.71,0.65,0.38,0.67,0.58
unladen-swallow.csv,0.98,1.0,0.62,0.82,0.8,0.64,0.62,0.74,0.52,0.68,0.93,0.58,0.65,0.55,0.65,0.93,0.63,0.5,0.61,0.55
vienna-add-in.csv,0.58,0.62,0.49,0.56,0.54,0.75,0.53,0.54,0.43,0.96,0.5,0.55,0.46,0.5,0.47,0.66,0.58,0.4,0.78,0.62
wow-qrsk.csv,0.61,0.66,0.71,0.64,0.62,0.85,0.8,0.52,0.45,0.59,0.82,0.47,0.79,0.5,0.85,0.76,0.58,0.52,0.67,0.89
