,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.36,0.16,0.05,0.11,1.0,0.71,0.36,0.48,0.39,0.77,0.19,0.36,0.29,0.61,0.25,0.96,0.08,0.64,0.08,0.21
galaxium.csv,0.36,0.24,0.0,0.23,1.0,0.8,0.0,0.81,0.5,1.0,0.3,0.44,1.0,0.79,0.77,1.0,0.13,0.77,0.0,0.14
itext.csv,0.43,0.2,0.1,0.24,0.87,0.74,0.28,0.65,0.43,0.88,0.24,0.43,0.34,0.97,0.26,0.75,0.08,0.59,0.08,0.21
jahshakafx.csv,0.99,0.22,0.12,0.13,0.91,0.79,0.26,0.62,0.38,0.75,0.32,0.45,0.33,0.89,0.39,0.83,0.08,0.76,0.17,0.06
kolmafia.csv,0.54,0.19,0.08,0.22,0.85,0.7,0.31,0.69,0.42,0.79,0.28,0.39,0.36,0.69,0.41,0.73,0.06,1.0,0.12,0.16
mecat.csv,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.0,0.5,0.0,0.92,0.0,1.0,0.5,0.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.32,0.14,0.11,0.18,0.7,0.69,0.5,0.65,0.38,0.74,0.3,0.98,0.41,0.67,0.21,0.83,0.13,0.69,0.06,0.23
mptvseries.csv,0.38,0.16,0.13,0.13,0.96,0.86,0.4,0.85,1.0,0.91,0.48,0.5,0.6,0.85,0.37,0.62,0.07,0.87,0.25,0.19
novembre.csv,0.71,0.25,0.14,0.25,0.85,0.88,1.0,0.66,0.67,0.9,0.47,0.38,0.57,0.5,0.4,1.0,0.2,0.0,0.22,0.09
ns-3.csv,0.38,0.13,0.06,0.11,0.94,0.99,0.28,0.69,0.39,0.72,0.21,0.36,0.31,0.54,0.14,0.68,0.06,0.6,0.03,0.2
nullc.csv,0.25,0.1,0.05,0.13,1.0,0.66,0.27,0.66,0.41,0.72,0.21,0.42,0.45,0.63,0.62,0.66,0.08,0.66,0.03,0.18
pixel-commandos.csv,0.73,0.24,0.18,0.07,0.8,0.85,1.0,0.43,1.0,1.0,0.74,0.0,1.0,0.0,0.52,1.0,0.33,1.0,1.0,0.0
plee-the-bear.csv,0.14,0.05,0.97,0.5,0.75,0.63,0.21,0.67,0.29,0.56,0.13,0.27,0.14,0.46,0.17,0.56,0.0,0.43,0.04,0.17
quantlib.csv,0.53,0.23,0.24,0.4,0.8,0.76,0.32,0.77,0.27,1.0,0.41,0.33,0.34,0.73,0.78,1.0,0.05,0.75,0.08,1.0
reaper-ecad.csv,0.32,0.1,0.07,0.95,0.78,0.67,0.32,0.68,0.31,0.7,0.19,0.32,0.24,0.41,0.18,0.75,0.02,0.51,0.04,0.21
sbml.csv,0.48,0.17,0.1,0.23,0.86,0.73,0.31,0.67,0.4,1.0,0.27,0.36,0.38,0.62,0.4,0.66,0.04,0.62,0.07,0.29
smartgwt.csv,0.41,0.23,0.14,0.18,0.76,0.66,0.37,0.65,0.58,0.73,0.42,0.4,0.43,0.63,1.0,0.65,0.05,0.54,0.11,0.15
unladen-swallow.csv,0.31,0.72,0.04,0.06,0.68,0.62,0.33,0.65,0.27,0.58,0.09,0.29,0.17,0.43,0.16,0.71,0.07,0.48,0.02,0.28
vienna-add-in.csv,0.25,0.13,0.06,0.12,0.78,0.64,0.12,0.99,0.43,0.5,0.16,0.24,0.33,0.54,0.3,0.56,0.06,0.53,0.0,0.17
wow-qrsk.csv,0.66,0.12,0.1,0.16,1.0,0.82,0.6,0.6,0.55,0.85,0.98,0.32,0.38,0.63,0.49,0.65,0.16,0.67,0.14,0.0
