,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.63,0.58,0.8,0.84,0.84,0.65,0.56,0.95,0.69,0.58,0.72,0.67,0.73,0.59,0.71,0.09,0.58,0.57,0.57,0.72
galaxium.csv,0.92,0.73,1.0,0.88,0.94,0.92,1.01,0.8,0.85,0.99,0.79,0.61,0.11,0.68,0.45,0.98,0.4,0.52,1.0,0.96
itext.csv,0.58,0.47,0.5,0.52,0.66,0.6,0.75,0.74,0.63,0.36,0.68,0.53,0.67,0.03,0.86,0.55,0.58,0.65,0.45,0.86
jahshakafx.csv,0.02,0.55,0.57,0.82,0.81,0.83,0.75,0.91,0.78,0.79,0.64,0.59,0.86,0.77,0.53,0.78,0.7,0.73,0.3,0.98
kolmafia.csv,0.35,0.48,0.67,0.46,0.71,0.66,0.66,0.75,0.66,0.53,0.52,0.6,0.61,0.45,0.46,0.6,0.64,0.02,0.33,0.79
mecat.csv,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.98,0.98,0.97,1.0,0.88,1.0,0.0,0.98,1.0,1.0
mp-rechnungs-und-kundenverwaltung.csv,0.68,0.64,0.45,0.6,0.9,0.67,0.68,0.84,0.7,0.65,0.55,0.04,0.71,0.68,0.75,0.67,0.33,0.55,0.62,0.75
mptvseries.csv,0.58,0.6,0.53,0.83,0.51,0.87,0.75,0.8,0.05,0.61,0.52,0.83,0.5,0.68,0.51,0.85,0.7,0.73,0.75,0.74
novembre.csv,0.66,0.63,0.45,0.76,0.8,0.86,0.07,0.77,0.69,0.77,0.69,0.72,0.89,0.92,0.91,0.95,0.36,1.0,0.51,0.96
ns-3.csv,0.6,0.69,0.8,0.87,0.71,0.02,0.86,0.74,0.77,0.71,0.7,0.63,0.69,0.7,0.94,0.68,0.66,0.63,0.86,0.72
nullc.csv,0.91,0.86,0.87,0.88,0.02,0.89,0.93,0.77,0.76,0.71,0.75,0.55,0.44,0.57,0.64,1.0,0.55,0.53,0.86,0.89
pixel-commandos.csv,0.69,0.63,0.76,0.91,0.92,0.93,0.8,0.97,0.89,0.87,0.7,1.0,0.94,1.0,0.87,0.98,0.67,0.94,0.0,1.01
plee-the-bear.csv,0.94,0.92,0.15,0.88,0.89,0.77,0.82,0.76,0.87,0.95,0.87,0.78,0.97,0.83,0.96,0.86,1.07,0.91,0.73,0.79
quantlib.csv,0.81,0.64,0.55,0.67,0.92,0.78,0.68,0.8,0.88,0.71,0.66,0.83,0.71,0.69,0.41,0.93,0.93,0.69,0.76,0.12
reaper-ecad.csv,0.83,0.82,0.83,0.13,1.02,0.74,0.63,0.86,0.95,0.86,0.83,0.7,0.82,0.94,0.93,0.61,0.97,0.91,0.87,0.77
sbml.csv,0.43,0.53,0.52,0.44,0.63,0.59,0.7,0.71,0.68,0.03,0.56,0.68,0.57,0.62,0.43,0.72,0.84,0.6,0.55,0.54
smartgwt.csv,0.53,0.53,0.4,0.77,0.82,0.79,0.61,0.94,0.65,0.7,0.58,0.66,0.53,0.69,0.07,0.8,0.74,0.86,0.36,0.83
unladen-swallow.csv,0.88,0.42,0.85,0.94,0.98,0.79,0.61,0.74,0.94,0.9,0.92,0.75,0.92,1.01,0.88,0.79,0.53,0.86,1.02,0.55
vienna-add-in.csv,0.95,0.67,0.79,0.87,1.02,0.75,1.05,0.02,0.68,0.92,0.88,0.85,0.66,0.75,0.61,0.87,0.59,0.89,1.14,0.78
wow-qrsk.csv,0.49,0.74,0.51,0.62,0.74,0.79,0.8,0.84,0.49,0.57,0.04,0.72,0.67,0.55,0.68,0.8,0.27,0.6,0.32,1.0
