,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.29,0.41,0.15,0.43,0.53,0.18,1.0,0.18,0.5,0.17,0.19,0.65,0.2,0.07,0.0,0.35,0.41,0.33
dspace-gsoc.csv,0.21,0.12,0.18,0.2,0.09,0.05,0.15,0.26,0.17,0.24,1.0,0.26,0.2,0.16,0.25,0.12,0.19,0.09
fbmanager.csv,0.53,0.38,1.0,0.5,0.66,0.31,0.37,0.56,0.31,0.33,0.22,0.53,0.2,0.29,0.25,0.26,0.58,0.6
fido.csv,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
freenet.csv,0.51,0.78,0.53,0.67,0.98,0.54,0.85,0.82,0.75,0.67,0.83,0.88,0.4,0.79,0.5,0.72,0.69,0.71
geogebra.csv,0.32,0.34,0.41,0.91,0.77,0.8,0.26,0.72,0.52,0.14,0.33,0.88,0.8,0.51,0.75,0.48,0.9,0.36
google-caja.csv,0.68,0.59,0.82,0.78,0.69,0.65,0.7,0.99,0.85,0.45,0.67,0.74,1.0,0.93,1.0,0.72,0.85,0.66
itext.csv,0.32,0.59,0.47,0.5,0.59,0.58,0.59,0.67,0.62,0.33,0.44,0.94,0.8,0.81,0.5,0.61,0.64,0.52
k3b.csv,0.68,0.66,0.79,0.59,0.63,0.38,0.74,0.73,0.75,0.98,0.67,0.65,1.0,0.95,0.5,0.83,0.81,0.86
megameknet.csv,0.57,0.72,0.15,0.67,0.4,0.36,0.37,0.5,0.48,0.55,0.81,0.76,1.0,0.69,0.5,0.88,0.69,0.86
myfaces.csv,0.93,0.81,1.0,0.89,0.89,0.81,0.85,0.86,0.92,0.91,0.83,0.97,0.6,0.2,1.0,0.74,0.82,0.47
onotoa.csv,0.81,0.53,0.65,0.46,0.69,1.0,0.56,0.54,0.48,0.52,0.42,0.5,0.6,0.82,1.0,0.68,0.61,0.59
paintown.csv,0.97,0.5,0.53,0.61,0.57,0.57,0.44,0.62,0.73,0.43,0.42,0.53,1.0,0.68,0.5,0.67,0.72,0.33
powerfolder.csv,0.0,0.0,0.0,0.02,0.02,0.01,0.11,0.0,0.12,0.0,0.0,0.0,1.0,0.11,0.0,0.06,0.07,0.03
smartgwt.csv,0.56,0.66,0.74,0.63,0.67,0.64,0.41,0.69,0.73,0.66,0.58,0.53,0.8,0.92,1.0,0.72,0.73,0.47
sqlpower-library.csv,0.75,0.75,0.53,1.0,0.75,0.45,0.81,0.77,0.44,0.81,0.44,0.91,0.8,0.48,0.0,0.52,0.55,0.9
triplea.csv,0.66,1.0,0.71,0.74,0.81,0.46,0.52,0.78,0.88,0.9,0.64,0.88,0.8,0.43,0.25,0.59,0.7,0.62
