,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.65,0.65,0.38,0.95,0.81,0.87,1.0,0.88,0.53,0.71,0.58,0.71,0.17,0.75,0.0,0.47,0.38,1.0
dspace-gsoc.csv,0.52,0.44,0.6,0.75,0.81,0.57,0.57,0.8,0.08,0.82,1.0,0.75,0.02,0.5,0.07,0.22,0.35,1.0
fbmanager.csv,0.63,0.75,1.0,0.82,0.7,0.88,0.71,0.86,0.13,0.83,0.67,0.67,0.02,0.41,0.02,0.47,0.3,1.0
fido.csv,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
freenet.csv,0.41,0.57,0.49,0.76,0.99,0.85,0.52,0.85,0.14,0.71,0.68,0.51,0.03,0.36,0.05,0.29,0.23,1.0
geogebra.csv,0.47,0.65,0.41,0.74,0.64,0.82,1.0,0.74,0.26,0.89,0.67,0.55,0.04,0.58,0.03,0.56,0.99,1.0
google-caja.csv,0.74,0.61,0.67,0.8,0.71,0.81,0.63,1.0,0.18,0.76,0.65,0.78,0.05,0.36,0.06,0.32,0.29,1.0
itext.csv,0.71,0.56,0.67,0.77,0.78,0.8,0.7,0.9,0.24,0.73,0.64,1.0,0.09,0.52,0.04,0.43,0.36,1.0
k3b.csv,0.63,0.68,0.57,0.82,0.69,0.85,0.59,0.8,0.24,1.0,0.69,0.59,0.07,0.25,0.05,0.28,0.3,0.98
megameknet.csv,0.43,0.62,0.56,0.82,0.74,0.79,0.62,0.8,0.19,0.73,0.66,0.54,0.08,0.41,0.04,0.97,0.29,0.98
myfaces.csv,0.47,0.65,0.52,0.72,0.65,0.83,0.48,0.72,0.98,0.7,0.67,0.52,0.03,0.38,0.04,0.19,0.2,1.0
onotoa.csv,0.49,0.59,0.59,0.88,0.66,1.0,0.43,0.71,0.1,0.68,0.71,0.89,0.03,0.21,0.04,0.19,0.19,0.97
paintown.csv,1.0,0.67,0.69,0.9,0.74,0.82,0.57,0.87,0.19,0.78,0.71,0.69,0.06,0.38,0.04,0.33,0.34,1.0
powerfolder.csv,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.36,0.75,1.0
smartgwt.csv,0.67,0.6,0.58,0.81,0.7,0.81,0.46,0.69,0.19,0.69,0.62,0.58,0.07,0.98,0.05,0.24,0.27,0.96
sqlpower-library.csv,0.53,0.6,0.42,0.98,0.68,0.82,0.5,0.77,0.2,0.75,0.7,0.53,0.06,0.17,0.0,0.25,0.25,0.98
triplea.csv,0.53,1.0,0.57,0.79,0.7,0.87,0.52,0.78,0.2,0.72,0.74,0.59,0.06,0.68,0.01,0.35,0.34,1.0
