,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.4,0.5,0.21,0.6,0.65,0.29,1.0,0.3,0.52,0.28,0.29,0.68,0.18,0.12,0.0,0.4,0.4,0.49
dspace-gsoc.csv,0.29,0.2,0.27,0.31,0.16,0.1,0.24,0.39,0.11,0.37,1.0,0.39,0.04,0.25,0.11,0.15,0.25,0.16
fbmanager.csv,0.58,0.5,1.0,0.62,0.68,0.46,0.49,0.68,0.18,0.47,0.33,0.59,0.04,0.34,0.04,0.34,0.39,0.75
fido.csv,0.0,0.0,0.0,0.04,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
freenet.csv,0.45,0.66,0.51,0.71,0.99,0.66,0.65,0.84,0.24,0.69,0.75,0.65,0.06,0.5,0.1,0.41,0.34,0.83
geogebra.csv,0.38,0.45,0.41,0.82,0.7,0.81,0.41,0.73,0.34,0.24,0.44,0.67,0.07,0.54,0.06,0.52,0.94,0.53
google-caja.csv,0.71,0.6,0.74,0.79,0.7,0.72,0.67,0.99,0.29,0.57,0.66,0.76,0.1,0.52,0.11,0.45,0.43,0.79
itext.csv,0.44,0.58,0.55,0.61,0.67,0.67,0.64,0.76,0.35,0.45,0.52,0.97,0.16,0.63,0.07,0.5,0.46,0.68
k3b.csv,0.65,0.67,0.67,0.68,0.66,0.52,0.66,0.77,0.36,0.99,0.68,0.62,0.14,0.39,0.09,0.42,0.44,0.92
megameknet.csv,0.49,0.67,0.23,0.74,0.52,0.5,0.47,0.61,0.27,0.63,0.73,0.63,0.14,0.52,0.07,0.92,0.41,0.92
myfaces.csv,0.63,0.72,0.69,0.8,0.75,0.82,0.61,0.78,0.95,0.79,0.74,0.68,0.05,0.26,0.07,0.31,0.32,0.64
onotoa.csv,0.61,0.56,0.62,0.6,0.68,1.0,0.48,0.61,0.16,0.59,0.53,0.64,0.06,0.33,0.08,0.29,0.29,0.73
paintown.csv,0.99,0.57,0.6,0.73,0.64,0.67,0.5,0.72,0.3,0.56,0.53,0.6,0.11,0.48,0.07,0.44,0.46,0.49
powerfolder.csv,0.0,0.0,0.0,0.04,0.03,0.03,0.2,0.0,0.17,0.0,0.0,0.0,1.0,0.2,0.0,0.1,0.12,0.07
smartgwt.csv,0.61,0.63,0.65,0.71,0.68,0.71,0.43,0.69,0.3,0.67,0.6,0.55,0.14,0.95,0.09,0.36,0.4,0.63
sqlpower-library.csv,0.62,0.67,0.47,0.99,0.72,0.58,0.62,0.77,0.27,0.78,0.54,0.67,0.11,0.25,0.0,0.33,0.34,0.94
triplea.csv,0.59,1.0,0.63,0.76,0.75,0.6,0.52,0.78,0.33,0.8,0.69,0.71,0.12,0.53,0.03,0.44,0.45,0.77
