,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.55,0.63,0.58,0.62,0.56,0.34,0.33,0.35,0.1,0.85
geotools.csv,0.42,0.35,0.73,0.4,0.46,0.74,0.61,0.45,0.33,0.64
gephex.csv,0.59,0.09,0.54,0.0,0.49,0.73,0.65,0.72,0.5,0.46
haggle.csv,0.06,0.66,0.45,0.15,0.2,0.61,0.33,0.44,0.06,0.11
java-gnome.csv,0.23,0.3,0.52,0.81,0.26,0.67,0.52,0.39,0.41,0.57
jgnash.csv,0.45,0.55,0.67,0.6,0.48,0.56,0.63,0.5,0.42,0.48
jrdf.csv,0.12,0.13,0.44,0.7,0.44,0.79,0.49,0.09,0.51,0.13
mpqc.csv,0.58,0.18,0.0,0.09,0.25,0.09,0.13,0.35,0.48,0.49
panda3d.csv,0.63,0.43,0.52,0.49,0.6,0.44,0.59,0.43,0.4,0.33
tencompetence.csv,0.44,0.29,0.54,0.61,0.44,0.43,0.41,0.12,0.79,0.22
