,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.25,0.76,0.33,0.77,0.43,0.18,0.34,0.76,0.14,0.87
geotools.csv,0.24,0.77,0.34,0.88,0.46,0.56,0.5,0.76,0.38,0.71
gephex.csv,0.3,0.75,0.24,0.88,0.45,0.43,0.47,0.76,0.64,0.59
haggle.csv,0.08,0.71,0.45,0.22,0.19,0.42,0.36,0.5,0.09,0.17
java-gnome.csv,0.13,0.36,0.33,0.87,0.23,0.44,0.39,0.47,0.47,0.64
jgnash.csv,0.21,0.61,0.45,0.71,0.42,0.42,0.48,0.65,0.48,0.73
jrdf.csv,0.11,0.18,0.19,0.79,0.4,0.57,0.37,0.12,0.59,0.15
mpqc.csv,0.4,0.24,0.0,0.13,0.24,0.06,0.11,0.42,0.54,0.56
panda3d.csv,0.3,0.5,0.32,0.6,0.5,0.31,0.42,0.49,0.47,0.38
tencompetence.csv,0.31,0.34,0.24,0.73,0.35,0.31,0.28,0.17,0.82,0.26
