,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.9,0.58,0.43,0.78,0.53,0.97,0.42,0.38,0.37,0.58,0.47
gdis.csv,0.75,0.58,0.49,0.5,0.5,0.49,0.54,0.59,0.35,0.67,0.85
genoviz.csv,0.67,0.86,0.86,0.92,0.89,0.0,0.0,0.92,0.67,0.76,0.78
kml.csv,0.49,0.55,0.37,0.4,0.44,0.42,0.41,0.37,0.38,0.39,0.32
omseek.csv,0.0,0.8,0.0,0.89,0.58,0.68,0.0,0.8,0.67,0.68,0.58
ossbuild.csv,0.53,0.56,0.99,0.61,0.59,0.68,0.8,0.97,0.79,0.78,0.44
popeye-chess.csv,0.47,0.46,0.49,0.46,0.56,0.63,0.5,0.4,0.32,0.64,0.67
quarkplayer.csv,0.88,0.71,0.7,0.88,0.78,0.8,0.5,0.7,0.71,0.92,0.86
turbotrader-bos.csv,0.62,0.48,0.91,0.76,0.46,0.92,0.56,0.63,0.58,0.41,0.39
virtuoso.csv,0.38,0.56,0.59,0.43,0.5,0.43,0.36,0.57,0.36,0.38,0.33
zscreen.csv,0.49,0.65,0.99,0.42,0.49,0.59,0.91,0.96,0.74,0.54,0.4
