,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.0,0.02,0.69,0.27,0.2,0.1,0.23,0.71,0.08,0.21,0.31
gdis.csv,0.15,0.57,0.61,0.6,0.7,0.76,0.46,0.51,0.08,0.35,0.24
genoviz.csv,0.0,0.0,0.03,0.07,0.08,0.0,0.0,0.02,0.08,0.15,0.09
kml.csv,0.33,0.7,0.87,0.85,0.92,0.76,0.23,0.83,0.38,0.85,1.0
omseek.csv,0.0,0.02,0.0,0.05,0.25,0.2,0.0,0.01,0.0,0.2,0.18
ossbuild.csv,0.26,0.43,0.21,0.51,0.32,0.37,0.08,0.15,0.15,0.2,0.62
popeye-chess.csv,0.33,0.25,0.44,0.42,0.35,0.22,0.18,0.41,0.23,0.27,0.33
quarkplayer.csv,0.15,0.43,0.42,0.32,0.42,0.32,0.67,0.54,0.08,0.15,0.16
turbotrader-bos.csv,0.07,0.09,0.18,0.19,0.22,0.09,0.05,0.26,0.0,0.41,0.56
virtuoso.csv,1.0,0.8,0.45,0.92,0.78,0.99,0.95,0.21,1.0,0.68,0.89
zscreen.csv,0.15,0.23,0.26,0.91,0.67,0.43,0.05,0.14,0.08,0.52,0.56
