,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.75,0.69,0.77,0.62
ngl.csv,0.71,0.78,0.64,0.89
qmmp.csv,0.54,0.58,0.6,0.67
quarkplusplus.csv,0.58,0.58,0.56,0.41
