,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.59,0.73,0.68,0.64
ngl.csv,0.58,0.63,0.67,0.66
qmmp.csv,0.52,0.6,0.64,0.72
quarkplusplus.csv,0.6,0.58,0.61,0.5
