,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.46,0.06,0.06,0.02,0.0,0.97,0.0,0.0,0.2,0.01
fityk.csv,0.67,0.48,0.59,0.45,0.64,0.28,0.51,0.69,0.55,0.59
freenet.csv,0.57,0.64,0.7,0.48,0.13,0.7,0.61,0.32,0.6,0.55
geogebra.csv,0.64,0.41,0.61,0.62,0.7,0.28,0.58,0.52,0.53,0.69
hibernate.csv,0.25,0.58,0.54,0.53,0.4,0.9,0.67,0.59,0.56,0.62
itext.csv,0.41,0.6,0.67,0.43,0.75,0.53,0.68,0.52,0.51,0.71
k3b.csv,0.64,0.61,0.57,0.68,0.69,0.5,0.68,0.55,0.6,0.67
lamp.csv,0.67,0.39,0.65,0.49,0.7,0.49,0.65,0.57,0.6,0.7
megameknet.csv,0.54,0.51,0.68,0.55,0.52,0.29,0.64,0.65,0.52,0.51
thout.csv,0.09,0.6,0.54,0.45,0.0,0.86,0.47,0.37,0.48,0.39
