,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.86,0.05,0.05,0.02,0.0,1.0,0.0,0.0,0.17,0.01
fityk.csv,0.71,0.73,0.78,0.4,0.68,0.25,0.84,0.7,0.54,0.64
freenet.csv,0.71,0.7,0.73,0.72,1.0,1.0,0.94,0.89,0.74,0.94
geogebra.csv,0.79,0.36,0.76,0.59,0.79,0.25,0.54,0.5,0.51,0.67
hibernate.csv,0.21,0.8,0.5,0.53,0.35,1.0,0.67,0.66,0.53,0.6
itext.csv,0.36,0.59,0.68,0.38,0.74,0.5,0.68,0.48,0.47,0.76
k3b.csv,0.93,0.61,0.88,0.67,0.82,0.5,0.67,0.75,0.6,0.81
lamp.csv,0.64,0.34,0.74,0.91,0.91,0.5,0.64,0.61,0.6,0.85
megameknet.csv,0.5,0.7,0.74,0.62,0.85,0.25,0.62,0.82,0.53,0.8
thout.csv,1.0,0.57,0.75,0.57,1.0,1.0,0.8,0.64,0.6,0.8
