,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,13.0,0.0,0.0,1.0,63.0,2.0,306.0,65.0,1.0,3.0
fityk.csv,3.0,2.0,3.0,0.0,6.0,25.0,5.0,1.0,18.0,6.0
freenet.csv,12.0,2.0,1.0,0.0,9.0,18.0,5.0,0.0,11.0,7.0
geogebra.csv,23.0,1.0,0.0,0.0,1.0,23.0,3.0,0.0,1.0,6.0
hibernate.csv,5.0,2.0,0.0,1.0,0.0,7.0,3.0,0.0,10.0,1.0
itext.csv,2.0,1.0,0.0,2.0,0.0,20.0,5.0,0.0,6.0,16.0
k3b.csv,29.0,0.0,0.0,1.0,2.0,35.0,1.0,3.0,3.0,36.0
lamp.csv,9.0,9.0,3.0,0.0,4.0,41.0,4.0,2.0,10.0,2.0
megameknet.csv,4.0,2.0,0.0,0.0,6.0,27.0,3.0,0.0,4.0,8.0
thout.csv,13.0,1.0,2.0,0.0,10.0,9.0,5.0,0.0,10.0,26.0
