,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.45,0.75,0.94,0.5,0.0,0.94,0.0,0.0,0.94,0.89
fityk.csv,0.52,0.57,0.4,0.65,0.51,0.57,0.52,0.38,0.63,0.49
freenet.csv,0.54,0.56,0.43,0.52,0.43,0.42,0.51,0.39,0.54,0.44
geogebra.csv,0.39,0.63,0.32,0.47,0.35,0.51,0.53,0.45,0.44,0.47
hibernate.csv,0.92,0.54,0.5,0.5,0.79,0.6,0.57,0.43,0.59,0.56
itext.csv,0.92,0.5,0.36,0.48,0.35,0.64,0.45,0.42,0.53,0.41
k3b.csv,0.39,0.45,0.32,0.43,0.4,0.43,0.42,0.37,0.4,0.4
lamp.csv,0.64,0.76,0.35,0.4,0.4,0.42,0.46,0.44,0.45,0.41
megameknet.csv,0.89,0.58,0.4,0.55,0.43,0.66,0.54,0.42,0.56,0.44
thout.csv,0.4,0.58,0.42,0.61,0.42,0.5,0.53,0.49,0.49,0.45
