,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.1,0.5,0.59,0.5,0.0,0.24,0.0,0.0,0.33,0.11
fityk.csv,0.14,0.21,0.68,0.88,0.62,0.02,0.23,0.79,0.36,0.25
freenet.csv,0.1,0.29,0.77,0.69,0.54,0.05,0.27,0.66,0.31,0.25
geogebra.csv,0.12,0.53,0.69,0.85,0.63,0.03,0.54,0.71,0.38,0.45
hibernate.csv,0.23,0.25,0.83,0.74,0.86,0.1,0.38,0.69,0.41,0.38
itext.csv,0.42,0.33,0.78,0.88,0.81,0.06,0.38,0.81,0.42,0.34
k3b.csv,0.12,0.33,0.69,0.85,0.62,0.04,0.41,0.67,0.36,0.27
lamp.csv,0.25,0.45,0.72,0.73,0.62,0.03,0.4,0.69,0.36,0.29
megameknet.csv,0.2,0.22,0.74,0.71,0.55,0.03,0.41,0.72,0.3,0.22
thout.csv,0.1,0.42,0.66,0.65,0.53,0.08,0.22,0.6,0.25,0.21
