,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.44,0.46,0.4,0.31
neoengine.csv,0.44,0.45,0.4,0.35
omseek.csv,0.95,0.7,0.84,0.8
pcsx2.csv,0.62,0.6,0.45,0.69
