,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.55,0.27,0.65,0.81
neoengine.csv,0.6,0.26,0.78,0.75
omseek.csv,0.22,0.39,0.38,0.12
pcsx2.csv,0.58,0.33,0.8,0.46
