,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.17,0.11,0.23,1.0,0.14,0.0,0.52,0.09,0.09,0.07
arsenal-1.csv,0.49,0.42,0.97,0.11,0.23,0.4,0.23,0.47,0.17,0.13
barracudamvc.csv,0.97,0.24,0.0,0.35,0.71,0.0,0.27,0.3,0.27,0.0
irplus.csv,0.38,0.3,0.34,0.21,0.25,0.97,0.44,0.45,0.44,0.2
lite.csv,0.2,0.2,0.18,0.27,0.23,0.1,0.94,0.2,0.06,0.13
mevenide.csv,0.34,0.46,0.23,0.45,0.4,0.32,0.37,0.98,0.14,0.35
ontopia.csv,0.34,0.13,0.49,0.21,0.98,0.38,0.52,0.36,0.0,0.0
openintents.csv,0.48,0.93,0.44,0.72,0.41,0.59,0.67,0.51,0.56,0.32
ta3d.csv,0.0,0.24,0.13,0.47,0.53,0.71,0.25,0.37,0.61,0.99
tweetsharp.csv,0.62,0.54,0.42,0.61,0.44,0.55,0.47,0.61,0.96,0.6
