,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.05,0.03,0.03,0.0,0.21,0.05,0.1,0.1,0.07,0.0
arsenal-1.csv,0.8,0.39,0.0,0.03,0.57,0.3,0.44,0.39,0.0,0.06
barracudamvc.csv,0.1,0.94,1.0,0.9,0.64,1.0,0.93,0.91,0.93,1.0
irplus.csv,0.45,0.27,0.32,0.23,0.36,0.0,0.24,0.2,0.2,0.25
lite.csv,0.3,0.12,0.1,0.03,0.43,0.09,0.0,0.02,0.07,0.06
mevenide.csv,0.4,0.61,0.0,0.32,0.36,0.23,0.22,0.0,0.33,0.19
ontopia.csv,0.9,0.97,0.81,0.42,0.0,0.89,0.8,0.88,1.0,1.0
openintents.csv,0.45,0.0,0.84,0.61,0.21,0.43,0.49,0.61,0.67,0.5
ta3d.csv,1.0,0.94,0.97,0.81,0.79,0.52,0.93,0.89,0.6,0.06
tweetsharp.csv,0.6,0.36,0.87,0.74,0.36,0.3,0.85,0.66,0.0,0.56
