,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.86,0.91,0.82,0.0,0.91,1.0,0.54,0.94,0.93,0.94
arsenal-1.csv,0.83,0.73,0.04,0.91,0.97,0.7,0.91,0.67,0.86,0.89
barracudamvc.csv,0.1,0.94,1.0,0.91,0.65,1.0,0.93,0.95,0.94,1.0
irplus.csv,0.79,0.79,0.77,0.85,0.85,0.04,0.65,0.62,0.63,0.87
lite.csv,0.88,0.83,0.86,0.77,0.91,0.92,0.07,0.83,0.95,0.89
mevenide.csv,0.79,0.8,0.81,0.67,0.73,0.76,0.7,0.03,0.94,0.71
ontopia.csv,0.91,0.97,0.83,0.92,0.03,0.89,0.82,0.92,1.0,1.0
openintents.csv,0.71,0.09,0.87,0.62,0.67,0.59,0.56,0.76,0.75,0.87
ta3d.csv,1.01,0.94,0.97,0.85,0.8,0.56,0.96,0.89,0.66,0.06
tweetsharp.csv,0.66,0.6,0.87,0.75,0.69,0.56,0.85,0.7,0.05,0.66
