,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.94,0.67,0.83,1.0,0.75,0.0,0.64,0.18,0.75,1.0
arsenal-1.csv,0.83,0.41,1.0,0.67,0.67,0.41,0.14,0.28,1.0,0.8
barracudamvc.csv,0.98,0.42,0.47,0.42,0.89,0.34,0.27,0.21,0.74,0.67
irplus.csv,0.8,0.4,0.44,0.36,0.77,1.0,0.38,0.4,0.85,0.6
lite.csv,0.75,0.5,0.57,0.83,0.71,0.33,1.0,0.71,0.67,0.8
mevenide.csv,0.8,0.35,1.0,0.47,0.85,0.41,0.36,1.0,0.5,0.79
ontopia.csv,0.83,0.42,0.47,0.24,1.0,0.39,0.28,0.21,0.72,0.69
openintents.csv,0.84,1.0,0.45,0.51,0.9,0.44,0.35,0.23,0.74,0.56
ta3d.csv,0.82,0.42,0.47,0.39,0.86,0.47,0.22,0.26,0.77,0.97
tweetsharp.csv,0.86,0.5,0.48,0.47,0.86,0.5,0.3,0.28,1.0,0.72
