,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.94,0.67,0.83,0.45,0.92,0.5,0.73,0.91,0.75,0.5
arsenal-1.csv,0.36,0.5,0.54,0.67,0.67,0.59,0.81,0.62,0.83,0.8
barracudamvc.csv,0.38,0.28,0.36,0.33,0.36,0.34,0.37,0.5,0.4,0.43
irplus.csv,0.54,0.67,0.5,0.82,0.64,0.62,0.69,0.73,0.55,0.7
lite.csv,0.88,0.88,0.86,0.83,0.71,0.83,0.64,0.86,0.67,0.8
mevenide.csv,0.61,0.39,0.8,0.68,0.61,0.76,0.86,0.82,0.9,0.5
ontopia.csv,0.36,0.27,0.45,0.71,0.38,0.36,0.35,0.49,0.41,0.41
openintents.csv,0.44,0.52,0.34,0.36,0.55,0.59,0.35,0.57,0.42,0.83
ta3d.csv,0.34,0.28,0.37,0.37,0.35,0.42,0.41,0.47,0.38,0.42
tweetsharp.csv,0.4,0.46,0.4,0.37,0.58,0.54,0.34,0.5,0.45,0.44
