,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.77,0.6,0.56,0.71,0.45,0.62,0.54,0.78,0.77,0.68,0.08,0.93,0.88,0.69,0.57,0.76,0.88,0.91,0.68,0.62
alpine.csv,0.91,0.84,0.78,1.0,0.81,0.78,0.89,0.97,0.92,0.17,0.7,1.0,0.84,0.81,0.77,0.72,0.95,0.84,0.73,0.78
autowikibrowser.csv,0.64,0.65,0.65,0.66,0.37,0.69,0.54,0.69,0.65,0.43,0.45,0.8,0.8,0.65,0.55,0.65,0.78,0.66,0.0,0.47
critterding.csv,0.03,0.66,0.77,0.73,0.62,0.6,0.84,0.68,0.54,0.81,0.83,0.86,0.71,0.56,0.52,0.42,0.76,0.92,0.52,0.7
firebird.csv,0.63,0.04,0.73,0.96,0.72,0.82,0.5,0.7,0.58,0.69,0.59,0.6,0.77,0.45,0.54,0.74,0.68,0.55,0.67,0.73
fmri-dmt.csv,0.88,0.88,0.89,1.0,1.0,0.64,0.9,0.89,1.0,1.0,0.95,0.73,0.84,0.98,0.87,0.42,0.88,0.0,0.78,0.73
genecys.csv,0.98,0.62,0.99,0.87,0.82,0.02,0.73,0.99,1.0,0.95,0.99,1.0,0.88,1.0,1.0,0.95,0.89,0.98,0.87,0.94
hydrogen.csv,0.68,0.66,0.51,0.81,0.01,0.82,0.69,0.89,0.78,0.84,0.39,0.95,0.86,0.53,0.55,0.71,0.81,0.89,0.79,0.65
jcae.csv,1.0,0.99,0.0,0.94,0.63,0.95,0.75,0.95,0.97,1.0,0.59,1.0,1.0,1.0,0.87,0.9,0.98,0.84,0.91,0.98
kftpgrabber.csv,0.69,0.73,0.92,0.94,0.64,0.68,0.67,0.81,0.78,0.84,0.72,0.6,0.84,0.52,0.0,0.64,0.87,0.88,0.62,0.63
libarchive.csv,0.73,0.57,0.74,0.63,0.31,0.68,0.58,0.55,0.74,0.69,0.48,0.66,0.61,0.58,0.5,0.56,0.74,0.71,0.56,0.02
mimosa.csv,0.69,0.67,0.74,0.91,0.66,0.72,0.69,0.59,0.02,0.77,0.9,0.59,0.54,0.76,0.68,0.74,0.66,0.77,0.7,0.66
monetdb.csv,0.74,0.61,0.6,0.68,0.58,0.52,0.06,0.64,1.05,0.72,0.47,0.66,0.57,0.55,0.42,0.53,0.81,0.72,0.54,0.5
nosleepsoftware.csv,0.8,0.85,1.0,0.12,1.0,0.99,0.88,1.0,1.0,0.73,1.0,1.0,0.89,1.0,1.0,1.0,0.89,1.0,0.96,0.87
openmsx.csv,0.74,0.89,0.84,0.83,1.01,0.79,0.93,0.7,0.75,0.83,0.66,0.96,0.73,0.88,1.0,0.84,0.06,0.91,0.78,0.96
quarkplayer.csv,0.82,0.79,0.72,0.42,0.89,1.13,0.89,0.95,0.61,0.81,0.55,0.09,0.81,0.86,0.98,1.03,0.82,0.76,0.87,0.76
riff-evolve.csv,0.64,0.47,0.75,0.46,0.45,0.58,0.52,0.08,0.65,0.55,0.74,0.63,0.68,0.6,0.42,0.55,0.69,0.67,0.49,0.55
virtuoso.csv,0.65,0.96,0.94,1.0,0.77,0.65,0.98,0.99,1.0,0.99,0.95,0.99,0.93,0.05,0.97,0.44,0.99,0.97,0.93,0.94
xined.csv,0.76,0.77,0.89,0.94,0.39,0.73,0.72,0.77,0.85,0.84,0.49,0.92,0.88,0.79,0.61,0.1,0.93,0.84,0.83,0.58
zoolib.csv,0.82,0.92,0.78,0.94,0.81,0.71,0.92,0.86,0.79,1.0,0.86,0.82,0.29,0.91,0.8,0.58,0.94,0.84,0.82,0.86
