,critterding.csv,firebird.csv,jcae.csv,nosleepsoftware.csv,hydrogen.csv,genecys.csv,monetdb.csv,riff-evolve.csv,mimosa.csv,alpine.csv,acdk.csv,quarkplayer.csv,zoolib.csv,virtuoso.csv,kftpgrabber.csv,xined.csv,openmsx.csv,fmri-dmt.csv,autowikibrowser.csv,libarchive.csv
acdk.csv,0.62,0.5,0.4,0.77,0.55,0.39,0.5,0.93,0.79,0.95,0.57,0.71,0.81,0.7,0.58,0.44,0.95,0.48,0.58,0.61
alpine.csv,0.67,0.97,0.88,0.0,0.83,0.6,0.86,0.75,0.75,0.9,0.98,0.91,0.97,0.94,0.9,0.6,0.8,0.83,0.8,0.92
autowikibrowser.csv,0.39,0.37,0.32,0.5,0.48,0.3,0.41,0.44,0.36,0.41,0.4,0.47,0.45,0.35,0.47,0.35,0.52,0.36,0.45,0.46
critterding.csv,0.61,0.64,0.52,0.5,0.63,0.51,0.94,0.67,0.68,0.56,0.63,0.51,0.73,0.51,0.55,0.58,0.95,0.6,0.43,0.78
firebird.csv,0.55,0.48,0.46,0.65,0.72,0.44,0.54,0.56,0.54,0.66,0.58,0.53,0.74,0.57,0.55,0.42,0.67,0.42,0.61,0.5
fmri-dmt.csv,0.8,0.97,0.5,0.67,0.83,0.52,0.91,0.92,0.0,0.75,0.97,0.94,0.95,0.75,0.91,0.75,0.94,0.83,0.94,0.91
genecys.csv,0.43,0.41,0.3,0.39,0.49,0.44,0.35,0.42,0.35,0.41,0.44,0.4,0.41,0.39,0.42,0.39,0.45,0.3,0.36,0.43
hydrogen.csv,0.54,0.59,0.62,0.75,0.76,0.4,0.92,0.94,0.69,0.94,0.5,0.64,0.59,0.41,0.59,0.86,0.65,0.57,0.79,0.63
jcae.csv,0.0,0.5,0.89,0.0,0.9,0.67,0.95,0.86,0.5,0.0,0.61,0.0,0.0,0.0,0.86,0.5,0.0,0.8,0.75,0.0
kftpgrabber.csv,0.76,0.72,0.79,0.8,0.63,0.38,0.78,0.88,0.62,0.93,0.81,0.67,0.97,0.43,0.53,0.45,0.94,0.61,0.68,0.62
libarchive.csv,0.44,0.44,0.35,0.6,0.6,0.33,0.55,0.75,0.5,0.54,0.53,0.51,0.52,0.36,0.42,0.48,0.48,0.38,0.49,0.54
mimosa.csv,0.44,0.58,0.44,0.64,0.61,0.39,0.59,0.5,0.54,0.51,0.63,0.52,0.52,0.62,0.41,0.38,0.55,0.34,0.41,0.5
monetdb.csv,0.56,0.57,0.46,0.68,0.66,0.46,0.59,0.48,0.51,0.74,0.53,0.61,0.8,0.42,0.51,0.46,0.54,0.68,0.49,0.71
nosleepsoftware.csv,0.76,0.98,0.0,0.71,0.5,0.75,0.96,0.0,0.0,0.74,0.0,0.0,0.65,0.0,0.0,0.0,0.91,0.0,0.75,0.94
openmsx.csv,0.68,0.46,0.48,0.92,0.71,0.84,0.92,0.67,0.86,0.96,0.6,0.42,0.77,0.97,0.8,0.69,0.7,0.71,0.74,0.52
quarkplayer.csv,0.69,0.57,0.79,0.64,0.95,0.94,0.73,0.98,0.75,0.54,0.55,0.9,0.61,0.95,0.95,0.9,0.53,0.72,0.72,0.64
riff-evolve.csv,0.45,0.37,0.29,0.53,0.54,0.39,0.33,0.55,0.44,0.41,0.49,0.49,0.48,0.35,0.4,0.48,0.48,0.33,0.46,0.47
virtuoso.csv,0.66,0.4,0.31,0.43,0.52,0.48,0.4,0.42,0.37,0.43,0.43,0.41,0.51,0.78,0.44,0.48,0.41,0.3,0.4,0.44
xined.csv,0.68,0.78,0.83,0.67,0.66,0.56,0.94,0.97,0.92,0.93,0.55,0.96,0.95,0.95,0.6,0.89,0.93,0.88,0.93,0.54
zoolib.csv,0.86,0.95,0.86,0.83,0.89,0.42,0.9,0.95,0.89,0.8,0.98,0.91,0.95,0.94,0.88,0.5,0.83,0.8,0.92,0.91
