,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.35,0.57,0.27,0.96,0.68,0.6,0.18,0.24,0.57,0.53,0.38,0.5,0.1,0.83
boost-sandbox.csv,0.51,0.0,0.09,0.0,0.03,0.98,0.37,0.21,0.55,0.58,0.48,0.49,0.21,0.62
customwars.csv,0.28,0.3,0.28,0.56,0.53,0.35,0.27,1.0,0.37,0.27,0.3,0.46,0.28,0.49
dvd-create.csv,0.43,0.8,0.37,0.6,0.97,0.71,0.39,0.25,0.62,0.71,0.49,0.48,0.11,0.81
frogatto.csv,0.46,0.77,0.55,0.63,0.77,0.66,0.31,0.27,0.61,0.99,0.51,0.37,0.27,0.81
glelite.csv,0.44,0.78,0.41,0.68,0.89,0.84,0.37,0.26,0.65,0.66,0.54,0.45,0.16,1.0
go.csv,0.48,0.99,0.26,0.56,0.64,0.64,0.4,0.27,0.52,0.65,0.55,0.17,0.13,0.68
irplus.csv,0.39,0.27,0.21,0.56,0.24,0.54,0.48,0.28,0.58,0.51,0.96,0.69,0.18,0.2
lsb.csv,0.45,0.77,0.84,0.66,0.69,0.66,0.0,0.28,0.58,0.73,0.44,0.64,0.16,0.79
moving-pictures.csv,0.5,0.6,0.42,0.58,0.61,0.81,0.37,0.25,0.98,0.66,0.42,0.4,0.26,0.87
mpgravity.csv,0.42,0.62,0.35,0.61,0.73,0.82,0.96,0.26,0.57,0.59,0.56,0.54,0.29,0.59
plearn.csv,0.89,0.33,0.43,0.55,0.43,0.75,0.26,0.21,0.5,0.51,0.35,0.65,0.16,0.77
rebecca-aiml.csv,0.27,0.31,0.3,0.62,0.52,0.56,0.17,0.3,0.32,0.1,0.39,0.97,0.27,0.34
wxcode.csv,0.38,0.28,0.0,0.38,0.13,0.05,0.19,0.23,0.13,0.11,0.19,0.06,1.0,0.33
