,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,1.0,0.97,0.25,0.0,0.87,0.76,0.86,0.53,0.98,0.98,0.07,0.96,0.39,0.0,0.73,1.0,0.82,0.68,1.0,0.93
fbmanager.csv,0.19,0.31,0.0,0.0,0.13,0.01,0.07,0.49,0.22,0.41,0.07,0.77,0.17,0.0,0.49,0.0,0.71,0.11,0.0,0.06
fleet-simulator.csv,0.94,0.38,1.0,0.7,0.81,0.83,1.0,0.59,0.83,0.98,1.0,0.99,0.67,0.89,0.66,0.0,0.75,0.74,0.89,0.5
hannosset.csv,0.13,0.11,0.25,0.03,0.03,0.26,0.21,0.01,0.12,0.14,0.07,0.26,0.17,0.04,0.18,0.0,0.51,0.21,0.58,0.48
hydrate.csv,0.26,0.2,0.25,0.4,0.61,0.47,0.86,0.48,0.4,0.41,1.0,0.46,0.5,0.68,0.47,0.0,0.07,0.53,0.32,0.07
jgossipforum.csv,0.23,0.15,0.12,0.15,0.27,0.49,0.57,0.07,0.21,0.24,0.57,0.42,0.56,0.28,0.13,0.0,0.02,0.26,0.05,0.06
jruby.csv,0.16,0.54,0.12,0.08,0.16,0.26,0.43,0.11,0.6,0.2,0.64,0.2,0.0,0.23,0.16,0.0,0.53,0.47,0.79,0.24
madman.csv,0.13,0.3,0.25,0.38,0.11,0.13,0.21,0.36,0.36,0.16,0.07,0.14,0.11,0.18,0.07,0.0,0.58,0.11,0.26,0.28
mediaportal.csv,0.0,0.1,0.0,0.3,0.01,0.24,0.07,0.05,0.06,0.08,0.21,0.22,0.0,0.26,0.23,0.0,0.13,0.37,0.58,0.02
ninject.csv,0.13,0.15,0.75,0.32,0.58,0.34,0.5,0.33,0.58,0.31,0.14,0.23,0.33,0.33,0.09,1.0,0.16,0.11,0.37,0.33
officefloor.csv,0.06,0.03,0.0,0.28,0.09,0.2,0.43,0.23,0.74,0.22,0.36,0.46,0.39,0.35,0.27,0.0,0.05,0.58,0.21,0.06
ontopia.csv,0.32,0.98,1.0,0.54,0.05,0.81,0.21,0.11,0.18,0.86,0.86,0.8,0.78,0.42,0.13,0.88,0.02,0.21,0.63,0.13
poormans.csv,0.0,0.03,0.12,0.15,0.01,0.11,0.29,0.07,0.13,0.08,0.43,0.14,0.11,0.57,0.16,0.0,0.02,0.16,0.32,0.0
power-architect.csv,0.97,1.0,1.0,0.9,0.49,0.99,0.79,0.55,0.74,0.96,0.14,1.0,1.0,0.93,0.79,1.0,0.35,0.95,1.0,0.46
powerfolder.csv,0.39,0.21,0.0,0.16,0.58,0.48,0.5,0.31,0.1,0.27,0.14,0.55,0.33,0.2,0.22,0.12,0.42,0.53,0.0,0.41
stuproa-cims.csv,0.0,0.16,0.12,0.24,0.21,0.09,0.36,0.26,0.14,0.06,0.57,0.01,0.0,0.25,0.09,0.0,0.76,0.37,0.47,0.46
tart.csv,0.42,0.02,0.38,0.56,0.15,0.27,0.29,0.41,0.15,0.29,0.57,0.61,0.83,0.44,0.66,0.0,0.29,0.32,0.32,0.26
uface.csv,0.61,0.64,0.75,0.99,0.63,0.73,0.5,0.58,0.76,0.59,0.93,0.75,0.89,0.76,0.71,0.0,0.73,0.89,0.74,0.04
wxlua.csv,0.58,0.44,0.62,0.1,0.01,0.63,0.36,0.39,0.17,0.41,0.29,0.65,0.56,0.36,0.68,0.88,0.89,0.21,0.47,0.15
