,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.0,2.0,0.0,81.0,63.0,0.0,0.0,65.0,0.0,0.0
fityk.csv,3.0,0.0,0.0,0.0,3.0,10.0,5.0,0.0,13.0,4.0
freenet.csv,13.0,2.0,0.0,0.0,8.0,48.0,6.0,0.0,7.0,6.0
geogebra.csv,2.0,7.0,0.0,2.0,9.0,42.0,2.0,1.0,6.0,0.0
hibernate.csv,29.0,9.0,6.0,4.0,5.0,18.0,0.0,0.0,0.0,9.0
itext.csv,4.0,5.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,1.0
k3b.csv,27.0,6.0,0.0,0.0,1.0,25.0,2.0,1.0,7.0,8.0
lamp.csv,0.0,1.0,0.0,0.0,0.0,106.0,2.0,1.0,4.0,7.0
megameknet.csv,3.0,6.0,2.0,0.0,8.0,19.0,0.0,0.0,29.0,7.0
thout.csv,13.0,0.0,1.0,0.0,7.0,106.0,4.0,0.0,15.0,8.0
