,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.13,0.08,0.02,0.0,0.0,1.0,0.03,0.0,0.07,0.02
fityk.csv,0.2,0.28,0.53,0.58,0.48,0.11,0.28,0.99,0.29,0.24
freenet.csv,0.18,0.37,0.99,0.7,0.58,0.06,0.42,0.71,0.42,0.4
geogebra.csv,0.32,0.3,0.55,0.15,0.43,0.06,0.46,0.27,0.4,0.98
hibernate.csv,0.16,0.36,0.59,0.27,0.47,0.06,0.33,0.46,0.95,0.34
itext.csv,0.19,0.4,0.39,0.44,0.97,0.13,0.5,0.23,0.34,0.54
k3b.csv,0.22,0.44,0.73,1.0,0.78,0.09,0.46,0.73,0.42,0.43
lamp.csv,1.0,0.16,0.2,0.15,0.16,0.0,0.35,0.09,0.2,0.21
megameknet.csv,0.22,0.4,0.68,0.67,0.68,0.1,0.98,0.64,0.4,0.38
thout.csv,0.13,0.93,0.43,0.18,0.47,0.0,0.27,0.21,0.28,0.31
