,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.58,0.93,0.89,0.94,0.82,0.52,0.96,0.6,0.68,0.59,0.64,0.93
archive-crawler.csv,0.63,0.64,0.82,0.61,0.62,0.41,0.48,0.56,0.62,0.64,0.41,0.94
blue-c.csv,0.4,0.48,0.35,0.62,0.53,0.45,0.48,0.51,0.5,0.46,0.34,0.39
dynalloy.csv,0.44,0.66,0.54,0.68,0.66,0.79,0.68,0.52,0.62,0.49,0.41,0.65
jcae.csv,0.55,0.77,0.65,0.75,0.44,0.43,0.6,0.61,0.83,0.42,0.6,0.79
kmatplot.csv,0.5,0.51,0.4,0.4,0.0,0.41,0.71,0.71,0.52,0.46,0.42,0.39
mscore.csv,0.39,0.38,0.29,0.41,0.49,0.36,0.41,0.42,0.36,0.37,0.3,0.37
nosleepsoftware.csv,0.75,0.83,0.67,0.62,0.75,0.0,0.86,0.8,0.92,0.67,0.67,0.67
openmalaria.csv,0.42,0.36,0.27,0.33,0.4,0.34,0.35,0.4,0.35,0.37,0.29,0.32
popeye-chess.csv,0.53,0.52,0.39,0.43,0.49,0.41,0.38,0.53,0.56,0.45,0.33,0.4
riff-evolve.csv,0.48,0.67,0.32,0.69,0.45,0.54,0.53,0.61,0.54,0.55,0.44,0.38
virtuoso.csv,0.48,0.41,0.3,0.42,0.52,0.42,0.43,0.42,0.45,0.49,0.35,0.67
