,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.24,0.42,0.36,0.0,0.51,0.83,0.28,0.51,0.56,0.47,0.7,0.32
archive-crawler.csv,0.36,0.45,0.46,0.12,0.69,0.71,0.6,0.55,0.62,0.55,0.57,0.24
blue-c.csv,0.32,0.55,0.2,0.0,0.71,0.85,0.66,0.63,0.63,0.43,0.65,0.38
dynalloy.csv,0.26,0.72,0.11,0.09,0.52,0.57,0.52,0.5,0.62,0.43,0.62,0.26
jcae.csv,0.46,0.28,0.5,0.07,0.47,0.71,0.45,0.46,0.44,0.51,0.39,0.51
kmatplot.csv,0.55,0.34,0.23,0.38,0.0,0.68,0.4,0.41,0.4,0.48,0.51,0.37
mscore.csv,0.36,0.54,0.2,0.28,0.68,0.79,0.76,0.69,0.66,0.5,0.59,0.4
nosleepsoftware.csv,0.18,0.07,0.17,0.62,0.0,0.06,0.29,0.09,0.1,0.0,0.0,0.04
openmalaria.csv,0.37,0.42,0.2,0.36,0.67,0.71,0.76,0.73,0.61,0.44,0.55,0.39
popeye-chess.csv,0.39,0.44,0.24,0.26,0.69,0.65,0.68,0.55,0.65,0.54,0.6,0.44
riff-evolve.csv,0.4,0.52,0.24,0.0,0.68,0.6,0.55,0.49,0.7,0.37,0.52,0.47
virtuoso.csv,0.32,0.53,0.19,0.41,0.57,0.71,0.68,0.64,0.63,0.39,0.59,0.47
