,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.93,0.83,0.67,0.8,0.93,0.94,0.0,0.83,0.95,0.8
flylegacy.csv,0.47,0.62,0.44,0.53,0.52,0.41,0.59,0.6,0.43,0.58
ftm.csv,0.75,0.75,0.92,0.98,0.88,0.8,0.78,0.86,0.41,0.83
jcache.csv,0.37,0.41,0.35,0.47,0.5,0.5,0.65,0.35,0.64,0.42
lphant.csv,0.36,0.35,0.34,0.41,0.38,0.53,0.45,0.46,0.43,0.4
minig.csv,0.64,0.38,0.44,0.42,0.6,0.45,0.76,0.35,0.94,0.57
mob-sen-plat.csv,0.37,0.34,0.33,0.41,0.31,0.4,0.41,0.37,0.33,0.5
raygina.csv,0.45,0.0,0.47,0.38,0.69,0.65,0.45,0.34,0.93,0.53
upp-mirror.csv,0.54,0.67,0.37,0.65,0.35,0.62,0.65,0.8,0.53,0.91
yarp.csv,0.89,0.5,0.78,0.98,0.5,0.66,0.48,0.92,0.67,0.93
