,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.4,0.5,0.7,0.31,0.57,0.44,0.0,0.5,0.5,0.87
flylegacy.csv,0.37,0.81,0.88,0.19,0.57,0.32,0.5,0.4,0.47,0.42
ftm.csv,1.0,1.0,0.92,0.3,0.62,0.6,0.44,0.71,0.63,0.83
jcache.csv,0.42,0.75,0.8,0.15,0.58,0.48,0.4,0.39,0.53,0.82
lphant.csv,0.38,0.72,0.74,0.17,0.65,0.53,0.42,0.62,0.47,0.7
minig.csv,0.36,0.62,0.71,0.14,0.54,0.64,0.37,0.4,0.35,0.81
mob-sen-plat.csv,0.43,0.84,0.76,0.15,0.66,0.38,0.47,0.49,0.48,0.59
raygina.csv,0.66,0.0,0.74,0.16,0.62,0.62,0.5,0.41,0.47,0.87
upp-mirror.csv,0.39,0.67,0.8,0.28,0.76,0.44,0.47,0.4,0.71,0.73
yarp.csv,0.67,1.0,0.78,0.1,0.0,0.32,0.56,0.33,0.33,0.64
