,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.28,0.11,0.36,0.6,0.14,0.2,0.0,0.17,0.19,0.43
flylegacy.csv,0.56,0.44,0.68,0.58,0.5,0.28,0.48,0.39,0.13,0.2
ftm.csv,0.19,0.15,0.2,0.3,0.1,0.09,0.19,0.27,0.7,0.18
jcache.csv,0.63,0.7,0.68,0.45,0.46,0.6,0.36,0.32,0.35,0.89
lphant.csv,0.21,0.74,0.43,0.6,0.55,0.59,0.58,0.69,0.27,0.83
minig.csv,0.52,0.35,0.4,0.46,0.46,0.74,0.51,0.0,0.12,0.55
mob-sen-plat.csv,0.63,0.8,0.56,0.52,0.65,0.53,0.59,0.67,0.58,0.58
raygina.csv,0.76,0.0,0.53,0.57,0.29,0.4,0.44,0.52,0.13,0.43
upp-mirror.csv,0.46,0.07,0.6,0.56,0.72,0.41,0.36,0.21,0.49,0.28
yarp.csv,0.28,0.07,0.33,0.11,0.0,0.41,0.61,0.21,0.02,0.3
