,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.8,0.83,0.75,0.65,0.4,0.73,0.43,1.06,1.0,0.78,0.94,1.05,0.82
emulemorph.csv,0.76,0.75,0.71,0.93,0.56,1.0,1.06,0.8,0.44,1.02,0.94,1.1,0.91
gisgraphy.csv,1.0,1.0,0.67,0.51,0.8,0.95,0.38,1.0,0.69,0.94,0.71,1.0,0.39
jaxen.csv,0.88,0.91,0.63,0.64,0.82,0.85,0.89,0.1,0.85,0.79,0.57,1.26,0.82
jvcl.csv,0.87,0.75,0.43,0.82,0.59,0.92,1.01,0.52,0.59,0.8,0.6,0.48,0.8
m-m-m.csv,0.73,0.62,0.91,0.82,0.93,0.44,1.0,1.0,0.8,0.98,1.01,0.66,0.83
motu.csv,0.85,0.8,0.95,0.95,1.0,0.64,1.01,0.99,0.66,0.34,0.91,0.98,0.99
nh3d.csv,0.63,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.73,0.67,0.94,0.33,0.89,0.71,0.26,0.98,1.03,0.66,0.96,0.23,0.77
wgs-assembler.csv,0.6,0.8,0.88,0.61,0.59,0.96,0.69,0.41,0.69,0.68,0.88,1.03,0.65
zabbix.csv,0.77,1.01,0.64,0.69,0.63,0.65,1.06,0.7,0.6,0.72,0.58,1.08,0.64
