,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.74,0.75,0.38,0.55,0.83,0.39,1.0,0.2,0.33,0.31,0.66,0.0,0.55
emulemorph.csv,0.26,0.25,0.31,0.09,0.54,0.0,0.0,0.2,0.67,0.0,0.06,0.0,0.09
gisgraphy.csv,0.0,0.0,0.38,0.55,0.21,0.06,1.0,0.0,0.33,0.08,0.29,0.0,0.68
jaxen.csv,0.74,1.0,0.81,0.64,0.88,0.71,1.0,1.0,0.83,0.92,0.45,0.0,0.59
jvcl.csv,0.13,0.25,0.62,0.18,0.5,0.08,0.0,0.6,0.5,0.23,0.4,1.0,0.23
m-m-m.csv,0.36,0.75,0.69,0.91,0.75,0.82,1.0,1.0,0.83,1.0,0.85,1.0,1.0
motu.csv,0.82,1.0,1.0,0.64,0.92,0.61,0.0,1.0,0.83,0.92,0.82,1.0,0.86
nh3d.csv,0.56,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.31,0.5,0.25,0.82,0.29,0.31,1.0,0.8,0.0,0.54,0.58,1.0,0.55
wgs-assembler.csv,0.46,0.75,0.88,0.64,0.71,0.04,1.0,0.6,0.5,0.92,0.12,0.0,0.41
zabbix.csv,0.85,0.0,0.81,0.64,0.5,0.35,0.0,0.4,0.5,0.69,0.43,0.0,0.41
