,f1,g,recall,precision,pf,wins
aufs.csv,0.26,0.31,0.27,0.5,0.22,4
bdbbasic.csv,0.36,0.37,0.32,0.62,0.31,6
echongl.csv,0.47,0.51,0.48,0.41,0.36,9
etherboot.csv,0.14,0.1,0.08,0.55,0.02,1
freebios.csv,0.34,0.42,0.45,0.27,0.44,3
gebr.csv,0.47,0.24,0.95,0.31,0.94,2
gnukeda.csv,0.38,0.4,0.46,0.36,0.46,5
google-gears.csv,0.46,0.47,0.77,0.33,0.63,7
jnode.csv,0.21,0.14,0.12,0.33,0.1,0
openmeetings.csv,0.43,0.54,0.54,0.49,0.2,12
pgui.csv,0.43,0.58,0.66,0.35,0.49,10
tradelink.csv,0.45,0.58,0.59,0.44,0.34,11
wxcrp.csv,0.48,0.5,0.74,0.4,0.67,8
