,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.61,0.61,0.72,0.81,0.76,0.8,0.73,0.83,0.48,0.63,0.69,0.75,0.36,0.44,0.49,0.98,0.37,0.67,0.53
bzbyte.csv,0.11,0.0,0.69,0.63,0.24,0.9,0.58,0.0,0.0,0.83,0.69,0.82,0.0,0.8,0.35,0.92,0.29,0.99,0.0
chrysalis.csv,0.59,0.7,0.53,0.79,0.72,0.74,0.68,0.71,0.26,0.71,0.46,0.73,0.37,0.61,0.42,0.88,0.57,0.94,0.45
dspace-gsoc.csv,0.66,0.71,0.54,0.59,0.71,0.89,0.63,0.72,0.25,0.59,0.78,0.78,0.33,0.69,0.36,0.97,0.21,0.74,0.41
fbmanager.csv,0.41,0.31,0.73,0.72,0.07,0.35,0.53,0.25,0.15,0.54,0.36,0.55,0.0,0.56,0.52,0.31,0.4,0.84,0.15
fityk.csv,0.61,0.68,0.67,0.71,0.73,0.7,0.71,0.77,0.29,0.62,0.55,0.8,0.33,0.78,0.37,0.54,0.33,0.98,0.55
fleet-simulator.csv,0.65,0.71,0.66,0.82,0.79,0.67,0.67,0.8,0.35,0.83,0.77,0.75,0.32,0.77,0.46,1.0,0.28,0.89,0.51
freenet.csv,0.57,0.71,0.63,0.77,0.76,0.64,0.64,0.82,0.23,0.72,0.72,0.77,0.31,0.73,0.42,0.59,0.31,0.99,0.48
google-caja.csv,0.71,0.73,0.71,0.83,0.77,0.9,0.65,0.87,0.24,0.76,0.8,0.85,0.34,0.78,0.38,0.91,0.4,0.97,0.46
k3b.csv,0.69,0.71,0.71,0.77,0.77,0.89,0.63,0.81,0.25,0.73,0.79,0.88,0.36,0.74,0.39,0.82,0.3,0.93,0.51
mediaportal.csv,0.33,0.43,0.11,0.52,0.44,0.3,0.54,0.37,0.45,0.33,0.36,0.3,0.43,0.16,0.48,0.31,0.0,0.43,0.38
myfaces.csv,0.63,0.65,0.64,0.83,0.64,0.64,0.59,0.43,0.47,0.57,0.6,0.63,0.34,0.66,0.37,0.86,0.46,0.62,0.52
onotoa.csv,0.41,0.46,0.31,0.56,0.43,0.77,0.3,0.37,0.15,0.56,0.64,0.29,0.2,0.6,0.29,0.39,0.23,0.7,0.26
paintown.csv,0.72,0.62,0.73,0.83,0.7,0.77,0.56,0.79,0.23,0.67,0.78,0.63,0.33,0.74,0.31,0.86,0.29,0.64,0.46
poormans.csv,0.24,0.57,0.13,0.56,0.63,0.38,0.74,0.4,0.33,0.43,0.46,0.26,0.34,0.39,0.62,0.04,0.24,0.74,0.39
sqlpower-library.csv,0.65,0.69,0.69,0.79,0.79,0.82,0.67,0.81,0.26,0.83,0.76,0.8,0.32,0.8,0.36,0.81,0.26,0.99,0.5
triplea.csv,0.62,0.77,0.66,0.73,0.72,0.74,0.57,0.78,0.25,0.75,0.69,0.71,0.36,0.69,0.41,0.88,0.47,0.83,0.49
xamj.csv,0.61,0.36,0.69,0.58,0.77,0.79,0.62,0.82,0.41,0.73,0.72,0.81,0.33,0.62,0.43,0.58,0.34,0.47,0.63
