,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,1.0,0.96,0.91,1.0,0.71,0.67,0.62,0.54,0.95,0.95,0.92,0.92,0.67,0.77,0.75,0.84,0.37
encog-cs.csv,1.0,0.39,0.62,0.91,0.57,0.43,0.9,0.95,0.94,0.59,0.61,0.66,0.67,0.52,0.97,0.97,0.95
extprosys.csv,1.0,0.82,0.92,0.89,0.93,0.9,0.85,0.89,0.98,0.95,0.87,0.5,1.0,0.95,0.97,0.88,0.63
ibatisdb.csv,0.0,0.18,0.06,0.07,0.18,0.23,0.21,0.25,0.09,0.09,0.13,0.17,0.33,0.09,0.97,0.22,0.21
intact.csv,1.0,0.55,0.25,0.46,0.39,0.97,0.38,0.37,0.35,0.59,0.53,0.19,0.33,0.33,0.17,0.28,0.21
japano.csv,1.0,0.92,0.72,0.61,0.71,0.93,0.49,0.99,1.0,0.95,0.97,0.99,1.0,0.82,0.86,1.0,0.79
lockss.csv,0.0,0.06,0.09,0.0,0.0,0.33,0.41,0.18,0.12,0.95,0.11,0.03,0.0,0.03,0.58,0.38,0.05
ofbiz.csv,0.0,0.41,0.26,0.45,0.21,0.37,0.41,0.25,0.36,0.14,0.63,0.6,0.33,0.99,0.36,0.16,0.37
officefloor.csv,0.0,0.22,0.49,0.83,0.21,0.37,0.74,0.82,0.0,0.09,0.71,0.45,0.33,0.01,0.86,0.84,0.84
opennms.csv,0.0,0.33,0.06,0.11,0.89,0.13,0.13,0.07,0.11,0.14,0.18,0.23,0.0,0.16,0.11,0.0,0.05
papertoolkit.csv,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.09,0.03,0.01,1.0,0.0,0.0,0.0,0.0
rohxel.csv,0.0,0.82,0.66,0.75,0.54,0.7,1.0,0.7,0.67,0.59,0.58,0.57,0.67,0.57,0.89,0.88,0.47
sevenupdate.csv,1.0,1.0,1.0,1.0,0.89,1.0,0.59,1.0,0.97,0.45,1.0,0.94,0.67,0.9,1.0,0.81,1.0
web-cat.csv,0.0,0.35,0.09,0.19,0.36,0.23,0.33,0.23,0.32,0.18,0.26,0.43,0.0,0.26,0.11,0.22,0.95
xcf.csv,1.0,0.53,0.6,0.43,0.61,0.63,0.85,0.42,0.35,0.5,0.66,0.47,0.33,0.41,0.92,0.94,0.68
