,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,99.0,490.0,98.5,1758.0,98.5,490.0,10066.0,194.0,780.5,98.5,196.0,189.0,1962.0,99.0,98.5,293.5,1001.5
chaosrts.csv,85.5,292.5,97.5,754.5,388.0,490.0,6135.5,194.0,1015.0,276.5,196.0,386.0,2243.5,99.0,95.5,91.5,727.0
cortex-vfx.csv,98.5,293.5,98.5,905.0,193.0,180.0,1401.0,194.0,431.5,98.5,196.0,342.0,478.5,99.0,95.5,190.0,176.0
fm-classic.csv,99.0,96.5,98.5,77.5,191.0,49.5,306.5,96.5,0.0,87.5,97.5,247.5,931.0,98.5,66.5,89.5,164.0
fritzing.csv,98.5,96.5,98.5,471.5,94.5,184.5,1227.5,194.0,69.0,98.5,285.5,260.5,451.5,99.0,98.5,190.0,358.0
jlinalg.csv,99.0,195.0,98.5,1564.0,98.5,284.0,7881.5,194.0,870.0,98.5,196.0,386.0,1962.0,98.5,98.5,293.5,634.5
loki-lib.csv,85.5,292.5,94.5,1073.0,192.0,383.5,7141.5,194.0,152.5,95.5,93.5,93.5,2273.5,99.0,95.5,195.0,730.0
metacosm.csv,99.0,96.5,98.5,275.0,98.5,159.0,1623.5,803.5,1046.0,95.5,196.0,82.5,291.5,96.5,98.5,195.0,82.5
multitude.csv,99.0,96.5,98.5,1668.5,98.5,285.0,4941.0,194.0,1725.5,98.5,196.0,189.0,1766.0,99.0,98.5,293.5,632.5
ng4j.csv,98.5,292.5,98.5,936.5,194.0,279.0,1692.0,1113.0,437.5,95.5,97.5,93.5,1078.5,98.5,98.5,293.5,351.0
phonon-vlc-mplayer.csv,98.5,294.0,98.5,558.0,96.5,184.5,437.5,194.0,123.0,95.5,97.5,93.5,676.5,99.0,98.5,195.0,82.5
playerstage.csv,98.5,195.5,98.5,455.5,94.5,184.5,1036.0,981.5,248.5,95.5,93.5,93.5,1766.0,98.5,95.5,293.5,264.5
qgis.csv,99.0,391.5,98.5,836.5,96.5,0.0,3416.5,194.0,594.5,95.5,97.5,522.0,387.0,98.5,98.5,195.0,268.5
rsyslog.csv,98.5,490.0,98.5,1465.0,98.5,186.0,7019.5,194.0,1199.5,98.5,97.5,386.0,1962.0,99.0,95.5,89.5,638.5
rtrt-on-gpu.csv,70.5,290.0,182.0,1271.0,98.5,391.0,7044.5,1582.5,230.5,98.5,190.0,169.0,1669.5,92.5,98.5,195.0,809.5
superwaba.csv,85.5,292.5,98.5,803.5,98.5,85.5,5843.5,194.0,798.5,193.0,97.5,189.0,684.0,99.0,95.5,91.5,531.0
unflobtactical.csv,98.5,490.0,98.5,838.5,96.5,184.5,579.5,1525.0,906.0,98.5,97.5,189.0,1473.0,98.5,98.5,195.0,537.0
