,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.56,0.67,0.38,0.31,0.43,0.67,0.49,0.29,0.54,0.66,0.79,0.42,0.76,0.24,0.63,0.61
biodwh.csv,0.49,0.41,0.48,0.25,0.38,0.29,0.36,0.21,0.44,0.36,0.42,0.15,0.65,0.59,0.55,0.69
bloodycore.csv,0.57,0.47,0.19,0.41,0.25,0.24,0.2,0.13,0.09,0.67,0.51,0.55,0.42,0.08,0.31,0.53
blue-c.csv,0.58,0.67,0.36,0.27,0.35,0.81,0.4,0.29,0.41,0.6,0.75,0.51,0.73,0.23,0.65,0.58
etics.csv,0.46,0.38,0.71,0.28,0.39,0.29,0.33,0.28,0.39,0.49,0.43,0.12,0.54,0.56,0.53,0.68
flexpay.csv,0.11,0.69,0.38,0.22,0.41,0.41,0.45,0.32,0.27,0.62,0.36,0.38,0.37,0.21,0.31,0.67
flylegacy.csv,0.03,0.73,0.22,0.25,0.37,0.7,0.52,0.3,0.4,0.22,0.62,0.41,0.45,0.29,0.63,0.49
ftm.csv,0.55,0.41,0.5,0.3,0.49,0.64,0.12,0.2,0.37,0.49,0.4,0.53,0.38,0.11,0.65,0.6
gzigzag.csv,0.08,0.53,0.4,0.24,0.48,0.64,0.43,0.31,0.48,0.22,0.44,0.3,0.31,0.25,0.64,0.6
img-browse-sort.csv,0.42,0.73,0.48,0.31,0.4,0.55,0.46,0.29,0.42,0.36,0.64,0.64,0.68,0.3,0.58,0.75
jcache.csv,0.55,0.85,0.56,0.22,0.38,0.69,0.43,0.26,0.39,0.42,0.66,0.43,0.67,0.29,0.57,0.84
jguard.csv,0.28,0.75,0.3,0.26,0.38,0.55,0.6,0.28,0.46,0.42,0.59,0.47,0.6,0.17,0.63,0.6
ppcboot.csv,0.56,0.81,0.42,0.27,0.36,0.71,0.54,0.3,0.42,0.63,0.72,0.44,0.79,0.21,0.62,0.62
qdvdauthor.csv,0.57,0.36,0.32,0.26,0.38,0.59,0.39,0.25,0.33,0.66,0.69,0.43,0.81,0.1,0.54,0.49
reactos-mirror.csv,0.61,0.75,0.4,0.27,0.41,0.67,0.44,0.29,0.53,0.69,0.68,0.43,0.73,0.28,0.2,0.7
unbvision.csv,0.58,0.48,0.61,0.19,0.37,0.52,0.37,0.25,0.58,0.42,0.52,0.46,0.62,0.39,0.45,0.55
