,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.34,0.01,0.07,0.07,0.47,0.86,0.03,0.05,0.03,0.14,0.31,0.0
emulemorph.csv,0.62,0.0,0.19,0.0,0.34,0.0,0.0,0.04,0.13,0.0,1.0,0.0
jaxen.csv,0.33,0.01,0.13,0.07,0.26,0.81,0.02,0.42,0.05,0.25,0.67,0.0
jvcl.csv,0.5,1.0,0.21,0.18,0.34,1.0,0.0,0.1,0.08,0.25,0.81,0.01
m-m-m.csv,0.38,0.01,0.08,0.08,0.24,0.95,0.02,0.06,0.02,0.24,0.35,0.02
motu.csv,0.42,0.01,0.13,0.04,0.24,0.95,0.0,0.05,0.05,0.5,0.74,0.0
nh3d.csv,0.42,0.67,0.0,0.06,0.26,0.84,0.02,0.06,0.0,0.22,0.4,0.01
sarasvati.csv,0.39,0.01,0.05,0.16,0.16,0.87,0.07,0.06,0.03,0.29,0.34,0.04
wgs-assembler.csv,0.45,0.02,0.1,0.1,0.26,1.0,0.02,0.11,0.06,0.29,0.64,0.0
zabbix.csv,0.37,0.0,0.17,0.07,0.22,0.94,0.0,0.07,0.07,0.23,0.74,0.0
