,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.69,0.75,0.38,0.55,0.83,0.49,1.0,0.8,0.33,0.31,0.65,0.0
emulemorph.csv,0.13,0.0,0.56,0.0,0.54,0.0,0.0,0.2,0.83,0.0,0.03,0.0
jaxen.csv,0.74,0.75,0.81,0.55,0.83,0.69,1.0,1.0,0.83,0.92,0.48,0.0
jvcl.csv,0.1,0.5,0.56,0.27,0.54,0.08,0.0,0.6,0.5,0.23,0.45,1.0
m-m-m.csv,0.44,0.75,0.56,0.91,0.83,0.78,1.0,1.0,0.17,1.0,0.78,1.0
motu.csv,0.69,1.0,1.0,0.36,0.92,0.37,0.0,0.8,0.5,0.69,0.66,0.0
nh3d.csv,0.56,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
sarasvati.csv,0.31,0.5,0.31,0.82,0.25,0.25,1.0,0.8,0.17,0.62,0.66,1.0
wgs-assembler.csv,0.49,1.0,0.88,0.82,0.46,0.08,1.0,0.2,0.5,0.92,0.11,0.0
zabbix.csv,0.79,0.0,0.62,0.64,0.29,0.33,0.0,0.4,0.5,0.62,0.52,0.0
