,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.44,0.64,0.44,0.55,0.47,0.48,0.44,0.45,0.57,0.57,0.43,0.65
emulemorph.csv,0.88,0.91,0.54,0.96,0.71,0.0,0.75,0.92,0.55,0.67,0.5,0.5
jaxen.csv,0.38,0.55,0.37,0.61,0.43,0.74,0.38,0.92,0.47,0.44,0.83,0.33
jvcl.csv,0.88,0.5,0.74,0.94,0.55,0.75,0.75,0.58,0.56,0.75,0.78,0.33
m-m-m.csv,0.62,0.52,0.41,0.46,0.39,0.74,0.39,0.4,0.55,0.38,0.35,0.5
motu.csv,0.36,0.45,0.33,0.64,0.38,0.65,0.75,0.48,0.37,0.61,0.6,0.31
nh3d.csv,0.53,0.83,0.0,0.41,0.38,0.56,0.37,0.4,0.75,0.37,0.36,0.28
sarasvati.csv,0.77,0.43,0.44,0.68,0.57,0.6,0.73,0.43,0.71,0.39,0.37,0.84
wgs-assembler.csv,0.52,0.69,0.34,0.46,0.49,0.75,0.53,0.89,0.47,0.37,0.91,0.74
zabbix.csv,0.34,0.97,0.59,0.59,0.62,0.89,0.7,0.76,0.56,0.57,0.76,0.7
