,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.0,0.97,1.0,0.94,0.94,0.86,1.0,1.0,1.0,1.0,0.95,1.0,0.95,0.88
jicarilla.csv,1.0,0.95,0.03,1.0,0.89,1.0,1.0,0.95,1.0,1.0,1.0,0.98,0.91,0.97
jmule.csv,1.06,0.8,0.97,0.52,0.53,0.69,0.88,0.91,0.68,0.68,0.5,0.86,0.55,0.04
micomt.csv,1.0,0.98,0.61,0.81,0.83,0.78,0.88,0.9,0.0,0.73,0.61,0.71,0.8,0.78
migen.csv,1.0,0.9,0.82,0.82,0.03,0.78,0.9,0.72,0.93,0.74,0.91,0.99,0.67,0.76
mvnforum.csv,0.73,0.89,0.98,0.71,0.91,0.82,0.06,0.84,0.88,0.76,0.83,0.97,0.85,0.79
ng4j.csv,0.2,0.67,1.0,0.51,0.68,0.71,0.79,0.61,0.56,0.62,0.52,0.94,0.03,0.5
open-data-kit.csv,0.74,0.55,0.87,0.51,0.6,0.75,0.8,0.55,0.74,0.01,0.59,0.79,0.54,0.45
opennms.csv,1.01,0.78,0.97,0.78,0.76,0.01,0.89,0.67,1.01,0.93,0.96,0.88,0.76,0.6
ossim.csv,1.0,0.97,1.0,0.19,1.0,0.96,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0
plplot.csv,0.55,0.74,0.66,0.63,0.74,0.71,0.76,0.05,0.73,0.79,0.52,1.04,0.66,0.65
qedo.csv,1.01,0.98,0.94,1.01,1.0,0.93,1.0,1.0,1.0,0.97,0.86,0.0,1.0,0.96
tradelink.csv,1.0,0.69,0.88,0.72,0.92,1.0,0.94,0.86,0.92,0.93,0.11,0.83,0.85,0.96
wgs-assembler.csv,1.0,0.0,1.01,0.54,0.61,0.8,0.74,0.72,0.87,0.83,0.67,1.01,0.72,0.84
