,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.5,0.0,0.0,0.8,0.5,0.88,0.0,0.0,0.0,0.0,0.5,0.5,0.67,0.67
jicarilla.csv,0.5,0.67,0.88,0.5,0.88,0.5,0.0,0.75,0.0,0.88,0.75,0.98,0.89,0.91
jmule.csv,0.58,0.35,0.55,0.54,0.38,0.47,0.62,0.8,0.61,0.54,0.59,0.43,0.57,0.48
micomt.csv,0.0,0.75,0.93,0.92,0.94,0.85,0.67,0.67,0.92,0.83,0.83,0.92,0.93,0.92
migen.csv,0.86,0.88,0.67,0.97,0.55,0.61,0.89,0.67,0.86,0.78,0.93,0.65,0.94,0.89
mvnforum.csv,0.44,0.94,0.8,0.52,0.92,0.66,0.76,0.88,0.47,0.9,0.88,0.94,0.88,0.57
ng4j.csv,0.75,0.73,0.5,0.53,0.6,0.64,0.47,0.81,0.57,0.56,0.59,0.44,0.73,0.71
open-data-kit.csv,0.47,0.57,0.75,0.47,0.53,0.46,0.37,0.49,0.43,0.44,0.56,0.39,0.64,0.48
opennms.csv,0.91,0.76,0.5,0.98,0.72,0.72,0.65,0.73,0.83,0.71,0.92,0.98,0.85,0.64
ossim.csv,0.0,0.5,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plplot.csv,0.76,0.34,0.71,0.5,0.38,0.37,0.41,0.7,0.46,0.54,0.44,0.52,0.47,0.35
qedo.csv,0.9,0.88,0.67,0.97,0.0,0.75,0.0,0.67,0.75,0.88,0.94,0.95,0.0,0.5
tradelink.csv,0.86,0.94,0.8,0.92,0.89,0.67,0.0,0.88,0.75,0.9,0.94,0.97,0.83,0.5
wgs-assembler.csv,0.8,0.64,0.83,0.78,0.67,0.75,0.52,0.92,0.8,0.95,0.67,0.52,0.88,0.85
