,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.76,0.03,0.78,0.8,0.52,0.6,0.59,0.64,0.78,0.91,0.63,0.65,0.73,0.7,0.7,0.69,0.74,0.63,0.71
boost-sandbox.csv,0.76,0.67,0.92,0.59,0.58,0.66,0.85,0.03,0.69,0.59,0.62,0.88,0.73,0.51,0.73,0.66,0.84,0.86,0.82
dspace-gsoc.csv,0.87,0.85,1.01,0.83,0.86,0.88,0.62,0.65,0.82,0.81,0.69,0.93,0.64,0.63,0.11,0.84,0.82,1.01,0.85
enlightenment.csv,0.89,0.6,0.41,0.52,0.35,0.82,0.04,0.77,0.66,0.56,0.64,0.69,0.72,0.86,0.61,0.74,0.79,0.4,0.57
fceugc.csv,0.8,0.68,1.02,0.63,0.65,0.8,0.8,0.84,0.84,0.73,0.05,0.61,0.65,0.91,0.96,0.88,0.82,0.51,0.66
gnukeda.csv,0.74,0.71,0.56,0.75,0.57,0.03,0.72,0.71,0.78,0.76,0.62,0.65,0.71,0.93,0.62,0.76,0.5,0.43,0.5
jaolt.csv,0.65,0.61,0.3,0.58,0.63,0.8,0.74,0.83,0.74,0.79,0.63,0.65,0.03,0.91,0.79,0.67,0.57,0.36,0.65
knowledge.csv,0.99,0.43,0.98,0.95,0.0,0.8,0.64,1.0,0.89,0.82,0.82,0.85,0.73,1.0,1.0,0.99,0.84,0.87,0.92
kowari.csv,1.0,0.88,1.0,1.0,0.94,1.0,0.94,1.0,1.0,0.14,1.0,1.0,0.97,1.0,0.97,0.85,1.0,1.0,0.99
lufa-lib.csv,0.71,0.89,0.5,0.66,0.64,0.79,0.69,0.83,0.78,0.62,0.7,0.65,0.73,0.92,0.94,0.06,0.81,0.89,0.61
maidsafe-dht.csv,0.0,0.95,0.18,0.67,0.72,0.77,0.84,0.96,0.84,0.88,0.86,0.56,0.74,0.78,0.99,0.89,0.7,0.51,0.66
pixel-commandos.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.0,1.0
playerstage.csv,0.71,0.98,0.54,0.03,0.64,0.73,0.93,0.63,0.85,0.74,0.7,0.93,0.65,0.69,0.64,0.78,0.74,0.62,0.61
proftp.csv,0.54,0.49,0.24,0.54,0.61,0.72,0.69,0.8,0.73,0.56,0.57,0.07,0.72,0.69,0.86,0.71,0.52,0.42,0.62
tcvp.csv,0.87,0.9,0.72,0.91,1.11,0.87,0.9,0.93,0.62,0.61,0.94,0.94,0.84,0.0,0.81,0.88,0.79,0.79,0.9
theresa.csv,1.0,1.0,0.0,0.95,0.95,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.99,1.0,0.75,0.93
uwom.csv,0.65,1.0,1.02,0.87,0.91,0.78,0.9,0.94,0.92,0.56,0.46,0.5,0.71,0.75,0.78,0.97,0.93,0.55,0.04
xapian.csv,0.51,0.69,0.32,0.45,0.5,0.4,0.66,0.74,0.81,0.64,0.57,0.62,0.57,0.52,0.91,0.67,0.04,0.42,0.39
yaprm.csv,0.62,0.93,1.03,0.87,0.84,0.7,0.93,0.77,0.0,0.8,0.77,0.83,0.7,1.01,0.66,0.95,0.62,0.77,0.78
