,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.54,1.0,0.39,0.14,0.49,0.09,0.15,0.4,0.29,0.0,0.06
freedom-erp.csv,0.06,0.0,0.34,0.0,0.16,0.0,0.04,0.99,0.15,0.0,0.0
haggle.csv,0.34,0.62,0.22,1.0,0.04,0.43,0.54,0.12,0.55,0.0,0.15
jchassis.csv,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0
jmoney.csv,0.96,0.09,0.31,0.1,0.32,0.15,0.38,0.13,0.29,0.0,0.02
jsidplay2.csv,0.58,0.25,1.0,0.3,0.62,0.44,0.5,0.13,0.31,0.0,0.35
madman.csv,0.0,0.09,0.0,0.11,0.1,0.02,0.05,0.0,1.0,0.0,0.0
matrex.csv,0.62,0.05,0.53,0.04,0.42,0.1,0.99,0.62,0.15,0.0,0.0
mediate.csv,0.54,0.3,0.53,0.4,0.96,0.33,0.57,0.68,0.0,0.0,0.43
primefaces.csv,0.37,0.49,0.43,0.34,0.26,0.13,0.47,0.0,0.14,0.0,1.0
tmva.csv,0.43,0.46,0.53,0.51,0.69,0.99,0.59,0.57,0.62,0.0,0.45
