,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv
dxengine.csv,0.56,0.0,0.67,0.89,0.65,0.93,0.88,0.66,0.75,1.0,0.95
freedom-erp.csv,0.95,1.0,0.72,1.0,0.87,1.0,0.97,0.02,0.88,1.0,1.0
haggle.csv,0.72,0.57,0.85,0.0,0.98,0.77,0.67,0.9,0.51,1.03,0.88
jchassis.csv,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.0,1.0
jmoney.csv,0.05,0.93,0.74,0.93,0.75,0.88,0.67,0.92,0.75,1.0,0.97
jsidplay2.csv,0.52,0.88,0.0,0.81,0.63,0.63,0.66,0.97,1.01,1.06,0.83
madman.csv,1.0,0.93,1.0,0.91,0.93,0.98,0.96,1.0,0.0,1.0,1.0
matrex.csv,0.58,0.96,0.55,0.97,0.68,0.92,0.02,0.59,0.88,1.0,1.0
mediate.csv,0.53,0.77,0.55,0.71,0.05,0.72,0.58,0.64,1.02,1.04,0.71
primefaces.csv,0.95,0.84,0.82,0.96,0.87,0.99,0.77,1.01,1.02,1.1,0.0
tmva.csv,0.73,0.85,0.6,0.73,0.53,0.02,0.58,0.78,0.68,1.11,0.85
