,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,273.5,99.0,99.0,195.0,188.0,1975.5,364.0,184.0,99.0,976.0,826.5,96.5
ctrlr.csv,554.5,0.0,0.0,1032.0,86.5,411.0,99.0,456.0,99.0,871.0,88.5,93.5
dvt.csv,1333.5,99.0,86.5,195.0,272.5,826.5,99.0,458.0,198.0,745.0,372.0,81.5
flylinkdc.csv,272.5,99.0,99.0,690.0,188.0,1688.5,719.0,277.5,197.5,731.0,929.5,192.0
free-evolution.csv,1424.0,99.0,99.0,195.0,283.5,2933.0,649.5,97.5,197.5,941.0,654.5,195.0
fw4spl.csv,761.5,99.0,97.5,491.0,483.5,929.5,694.5,89.5,198.0,929.5,471.0,96.5
ipfire-wall.csv,282.0,99.0,97.5,490.0,184.5,402.5,418.5,97.5,62.5,355.5,212.0,87.5
ldview.csv,1424.0,99.0,99.0,850.0,188.0,1872.5,156.0,97.5,98.5,1301.0,271.5,195.0
nuttx.csv,559.0,98.5,99.0,277.5,188.0,1494.0,223.5,184.0,197.5,839.0,941.5,195.0
uclmda.csv,856.0,514.5,86.5,155.0,86.5,466.5,99.0,545.5,99.0,1167.0,282.5,94.5
vdsf.csv,943.5,198.0,99.0,1211.0,86.5,2375.0,99.0,97.5,99.0,2438.5,1315.0,193.0
xcf.csv,753.5,99.0,98.5,195.0,188.0,1301.0,99.0,97.5,98.5,1394.5,462.5,96.5
