,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.16,0.25,0.22,0.5,0.57,0.45,0.35,0.58,0.0,0.5,0.42,0.55,0.18
aubit4gl.csv,0.03,0.18,0.06,0.08,0.15,0.09,0.33,0.05,0.04,0.24,0.13,0.2,0.0
bionote.csv,0.11,0.18,0.08,0.12,0.09,0.2,0.12,0.3,0.4,0.11,0.19,0.09,0.36
liferea.csv,0.63,0.57,0.53,0.33,0.52,0.27,0.56,0.24,0.32,0.45,0.08,0.14,0.36
opensim4opencog.csv,0.33,0.32,0.63,0.46,0.44,0.43,0.75,0.31,0.23,0.71,0.37,0.14,0.21
pclasses.csv,0.31,0.14,0.08,0.5,0.05,0.09,0.06,0.39,0.04,0.18,0.12,0.63,0.04
plearn.csv,0.46,0.16,0.92,0.19,0.45,0.0,0.0,0.32,0.06,0.5,0.42,0.83,0.0
psrchive.csv,0.38,0.25,0.12,0.17,0.17,0.61,0.65,0.55,0.11,0.55,0.27,0.73,0.0
re2c.csv,0.25,0.18,0.02,0.56,0.53,0.41,0.27,0.58,0.02,0.39,0.65,0.48,0.15
rebecca-aiml.csv,0.29,0.12,0.37,0.38,0.55,0.66,0.67,0.59,0.04,0.53,0.81,0.17,0.2
thrust.csv,0.24,0.16,0.63,0.38,0.49,0.66,0.35,0.78,0.34,0.47,0.79,0.92,0.51
tzod.csv,0.26,0.3,0.43,0.31,0.37,0.48,0.46,0.41,0.23,0.5,0.17,0.76,0.49
yaprm.csv,0.43,0.41,0.53,0.27,0.32,0.0,0.31,0.13,0.28,0.34,0.46,0.08,0.07
